row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,event_disease_fenghan_diagnosis,weight=100|era=1_core_rules,,风寒入体,长安的秋风裹着一层潮气钻进衣领。你缩了缩脖子，喉咙里泛起一阵腥甜。\n\n第二天醒来，头重如裹，四肢百骸像被人拆开又胡乱拼了回去。铜盆里的水映出一张泛着不正常潮红的脸——这大概就是「病」了。,,,,
>option,,,,,硬撑着去拜谒,,prop_add(name=sick; val=10) | prop_sub(name=health; val=10),,,
>option,,,,,告假一日，闭门养病,,prop_sub(name=sick; val=5) | prop_add(name=health; val=5),,,
random_event,event_disease_shiyi_diagnosis,weight=100|era=1_core_rules,,壮志难酬,你又落榜了。\n\n巷口的酒旗簌簌地响，你坐在榻上，手里攥着那张写满朱批的试卷，眼睛里干涩得挤不出一滴泪。窗外的喧哗声像是隔了一层水——你听得到，但什么也听不进去。,,,,
>option,,,,,借酒浇愁,,prop_add(name=drunk; val=30) | emo_add(name=SORROW; val=15),,,
>option,,,,,沉默不语，呆坐终日,,prop_sub(name=health; val=5) | emo_add(name=SORROW; val=10),,,
random_event,event_disease_zhanwang_crazy,weight=100|era=1_core_rules,,狂言,你在市集中大笑不止，指着县衙的方向高声吟诵：\n\n「君不见——黄河之水天上来，奔流到海不复回！」\n\n路人侧目，孩童跟着起哄。你浑然不觉，只觉得胸中有一团火在烧，烧得你必须说些什么、喊些什么。,,,,
>option,,,,,继续高歌，不管不顾,,prop_sub(name=health; val=15) | prop_add(name=literary_fame; val=5),,,
>option,,,,,被友人拖回家中,,prop_sub(name=health; val=5) | prop_sub(name=literary_fame; val=3),,,
random_event,event_disease_bridge_fenghan,trigger_tags=[actor:health:sickAcute]|weight=100|era=1_core_rules,prop_gt(name=sick; val=50),病来如山倒,你撑了很久。咳嗽、头痛、发冷——你都忍了。但今天早上你连坐都坐不起来了。铜盆里的水映出一张灰败的脸。你终于承认：这次是真的病了。,,,,
>option,,,,,请大夫来诊脉,,prop_sub(name=money; val=8) | trait_add(name=disease_fenghan_acute),,,
>option,,,,,再扛一扛，或许能过去,,prop_add(name=sick; val=15) | prop_sub(name=health; val=10),,,
random_event,event_disease_bridge_shiyi,trigger_tags=[actor:mental:depression]|weight=100|era=1_core_rules,prop_gt(name=sick; val=30) & emo_gt(name=SORROW; val=40),心疾成结,你已经很久没有笑过了。久到记不清上次开怀是什么时候。胸口像压着一块石头，每个呼吸都沉甸甸的。朋友们说你想开些，可他们不知道——你连「想开」的力气都没有了。,,,,
>option,,,,,去看大夫，如实相告,,prop_sub(name=money; val=5) | trait_add(name=disease_shiyi_depression),,,
>option,,,,,独自扛着，对外只说不碍事,,emo_add(name=SORROW; val=15) | prop_add(name=burnout; val=10),,,
