flag_id,type,default_value
flag_player_health,str,test
chain_strange_poet_1,bool,FALSE
chain_strange_poet_2,bool,FALSE
chain_strange_poet_3,bool,FALSE
flag_relation_with_libai,int,0
flag_libai_changhe_shown,bool,FALSE
talked_to_libai,bool,FALSE
talked_to_wangwei,bool,FALSE
talked_to_dengqian,bool,FALSE
talk_count_libai,int,0
talk_count_wangwei,int,0
talk_count_dengqian,int,0
baiye_asking_triggered,bool,FALSE
trig_dist_outside_city,int,0
trig_dist_lishan,int,0
trig_dist_indifferent_wind,int,0
flag_near_death_count,int,0
flag_near_death_rescued_1,int,0
flag_near_death_rescued_2,int,0
flag_near_death_rescued_3,int,0
