uuid,name,parent_action,required_place,description,action_tags,day_consumed,possibility,cost_dsl,success_dsl,failure_dsl,defer_dsl,context,custom_option,prerequisite
fangshi_banzhuan,ACT_FANGSHI_BANZHUAN_NAME,fang_shi,xishi,ACT_FANGSHI_BANZHUAN_DESC,"32,37",0,l_success_rate,prop_sub(name=health; val=m_health_cost),prop_add(name=money; val=l_money_gain),,,fallback_event=fangshi_banzhuan_fallback|failed_fallback=fangshi_banzhuan_failed_fallback,
fangshi_shiyao,ACT_FANGSHI_SHIYAO_NAME,fang_shi,xishi,ACT_FANGSHI_SHIYAO_DESC,"32,38",3,m_success_rate,prop_sub(name=health; val=s_health_cost),prop_add(name=money; val=xl_money_gain),trait_add(name=poisoned)|prop_add(name=talent; val=m_talent_gain),,fallback_event=fangshi_shiyao_fallback|failed_fallback=fangshi_shiyao_failed_fallback,
fangshi_maizi,ACT_FANGSHI_MAIZI_NAME,fang_shi,xishi,ACT_FANGSHI_MAIZI_DESC,"32,39",2,m_success_rate,prop_sub(name=health; val=s_health_cost),prop_sub(name=prestige; val=m_fame_cost)|prop_add(name=money; val=l_money_gain),prop_add(name=money; val=l_money_gain)|prop_sub(name=prestige; val=l_fame_cost),,fallback_event=fangshi_maizi_fallback|failed_fallback=fangshi_maizi_failed_fallback,
fangshi_sell_poem,ACT_FANGSHI_SELL_POEM_NAME,fang_shi,xishi,ACT_FANGSHI_SELL_POEM_DESC,"32,47",0,l_success_rate,prop_sub(name=prestige; val=m_fame_cost),prop_add(name=prestige; val=s_fame_gain),,,fallback_event=fangshi_sell_poem_fallback|failed_fallback=fangshi_sell_poem_failed_fallback,poem_conversion:money:2
denggao_qujiangchi,ACT_DENGGAO_QUJIANGCHI_NAME,deng_gao,,ACT_DENGGAO_QUJIANGCHI_DESC,"31,40",0,l_success_rate,,prop_add(name=health; val=m_health_recovery)|prop_add(name=inspiration; val=s_xing_gain),,,fallback_event=denggao_qujiangchi_fallback,
denggao_leyouyuan,ACT_DENGGAO_LEYOUYUAN_NAME,deng_gao,,ACT_DENGGAO_LEYOUYUAN_DESC,"31,41",0,m_success_rate,,prop_add(name=health; val=l_health_recovery)|prop_add(name=inspiration; val=m_xing_gain),prop_add(name=health; val=15)|trait_add(name=sprained_ankle),,fallback_event=denggao_leyouyuan_fallback|failed_fallback=denggao_leyouyuan_failed_fallback,
denggao_shaolingyuan,ACT_DENGGAO_SHAOLINGYUAN_NAME,deng_gao,,ACT_DENGGAO_SHAOLINGYUAN_DESC,"31,42",0,m_success_rate,,prop_add(name=health; val=m_health_recovery)|prop_add(name=talent; val=m_talent_gain)|roll_imaginary(level=3)|prop_add(name=inspiration; val=l_xing_gain),prop_sub(name=talent; val=s_talent_cost),,fallback_event=denggao_shaolingyuan_fallback|failed_fallback=denggao_shaolingyuan_failed_fallback,
duzhuo_heyaojiu,ACT_DUZHUO_HEYAOJIU_NAME,du_zhuo,xishi,ACT_DUZHUO_HEYAOJIU_DESC,"34,44",2,l_success_rate,prop_sub(name=money; val=s_money_cost),trait_remove(name=poisoned)|prop_add(name=health; val=xs_health_gain),,,fallback_event=duzhuo_heyaojiu_fallback|failed_fallback=duzhuo_heyaojiu_failed_fallback,
duzhuo_xiaozhuo,ACT_DUZHUO_XIAOZHUO_NAME,du_zhuo,,ACT_DUZHUO_XIAOZHUO_DESC,"34,45",0,l_success_rate,prop_sub(name=money; val=xs_money_cost),prop_add(name=health; val=xs_health_gain),,,fallback_event=duzhuo_xiaozhuo_fallback|failed_fallback=duzhuo_xiaozhuo_failed_fallback,
duzhuo_fangjian_tingwen,ACT_DUZHUO_FANGJIAN_TINGWEN_NAME,du_zhuo,,ACT_DUZHUO_FANGJIAN_TINGWEN_DESC,"34,46",0,xs_success_rate,prop_sub(name=money; val=xs_money_cost),roll_imaginary(level=1),,,fallback_event=duzhuo_fangjian_tingwen_fallback|failed_fallback=duzhuo_fangjian_tingwen_failed_fallback,
jiaoyou_tongyou_changan,ACT_JIAOYOU_TONGYOU_CHANGAN_NAME,jiao_you,,ACT_JIAOYOU_TONGYOU_CHANGAN_DESC,"30,32",0,s_success_rate,prop_sub(name=money; val=s_money_cost),add_social_credit(val=10)|prop_add(name=prestige; val=5)|roll_imaginary(level=2),,,fallback_event=jiaoyou_tongyou_changan_fallback|failed_fallback=jiaoyou_tongyou_changan_failed_fallback,
jiaoyou_recite_poem,ACT_JIAOYOU_RECITE_POEM_NAME,jiao_you,pingkangfang,ACT_JIAOYOU_RECITE_POEM_DESC,"30,46",0,l_success_rate,prop_sub(name=prestige; val=m_fame_cost),,,,fallback_event=jiaoyou_recite_poem_fallback|failed_fallback=jiaoyou_recite_poem_failed_fallback,poem_selector:fame
jiaoyou_tavern_gacha,ACT_JIAOYOU_TAVERN_GACHA_NAME,jiao_you,pingkangfang,ACT_JIAOYOU_TAVERN_GACHA_DESC,"30,52",0,xxs_success_rate,prop_sub(name=money; val=s_money_cost)|pick_npc(mode=by_place; places=pingkangfang,xishi; state=uncharted; key=npc_target; social_tag=social:acquaint; skip_availability=true),person_state(mode=set; state=not_meet; target_key=npc_target),,prop_sub(name=money; val=s_money_cost),fallback_event=tavern_gacha_success_fallback|failed_fallback=tavern_gacha_failure_fallback|defer_xun=s_xun_cost|ap_cost_per_xun=l_ap_cost,
jiaoyou_hold_feast,ACT_JIAOYOU_HOLD_FEAST_NAME,jiao_you,pingkangfang,ACT_JIAOYOU_HOLD_FEAST_DESC,"30,55",0,m_success_rate,prop_sub(name=money; val=l_money_cost),prop_add(name=prestige; val=m_prestige_gain),,,fallback_event=hold_feast_success_fallback|failed_fallback=hold_feast_failure_fallback,,
baiye_poem_visit,ACT_BAIYE_POEM_VISIT_NAME,bai_ye,huangcheng,ACT_BAIYE_POEM_VISIT_DESC,"49,29",0,l_success_rate,prop_sub(name=money; val=m_money_cost),prop_add(name=progress; val=l_progress_gain),,,fallback_event=baiye_poem_visit_fallback,poem_selector:baiye
baiye_mass_distribution,ACT_BAIYE_MASS_DISTRIBUTION_NAME,bai_ye,huangcheng,ACT_BAIYE_MASS_DISTRIBUTION_DESC,"50,29",0,l_success_rate,prop_sub(name=money; val=l_money_cost),prop_add(name=momentum; val=m_momentum_gain),,,,
baiye_normal,ACT_BAIYE_NORMAL_NAME,bai_ye,huangcheng,ACT_BAIYE_NORMAL_DESC,"51,29",1,l_success_rate,prop_sub(name=money; val=m_money_cost)|pick_npc(mode=random; state=blood_oath; state_compare=lt; key=npc_target; social_tag=social:upgrade),person_state(mode=upgrade; target_key=npc_target)|prop_add(name=progress; val=s_progress_gain),,prop_sub(name=money; val=m_money_cost),fallback_event=baiye_normal_fallback|defer_xun=m_xun_cost|ap_cost_per_xun=l_ap_cost,
baiye_touzeng,ACT_BAIYE_TOUZENG_NAME,bai_ye,huangcheng,ACT_BAIYE_TOUZENG_DESC,"80,29",0,l_success_rate,,,,fallback_event=baiye_touzeng_fallback,
zhu_liu_xishi,ACT_ZHU_LIU_XISHI_NAME,zhu_liu,xishi,ACT_ZHU_LIU_XISHI_DESC,"56,61",0,l_success_rate,,set_stay_place(place=xishi),,,fallback_event=zhu_liu_xishi_fallback,
zhu_liu_pingkangfang,ACT_ZHU_LIU_PINGKANGFANG_NAME,zhu_liu,pingkangfang,ACT_ZHU_LIU_PINGKANGFANG_DESC,"56,62",0,l_success_rate,,set_stay_place(place=pingkangfang),,,fallback_event=zhu_liu_pingkangfang_fallback,
