row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,provider,template
random_event,daily_quangui_yanxi,trigger_tags=[daily:random:quangui:yanxi]|weight=10,,权贵邀宴,一位赏识你的权贵派人送来请帖，邀你赴宴。,,,,
>option,daily_quangui_yanxi_accept,,,欣然赴宴,应酬之间觥筹交错，却也耗费心神。,,prop_sub(name=inspiration; val=l_xing_cost)|prop_add(name=momentum; val=m_momentum_gain),,,
>option,daily_quangui_yanxi_refuse,,,婉言谢绝,你以身体不适为由推脱了邀约，保全了心神，却拂了权贵面子。,,prop_sub(name=momentum; val=l_momentum_cost)|prop_add(name=inspiration; val=m_xing_gain),,,
random_event,daily_quangui_qiushi,trigger_tags=[daily:random:quangui:qiushi]|weight=10,,权贵求诗,权贵听闻你的诗名，派人来请你赋诗一首。,,,,
>option,daily_quangui_qiushi_accept,,,欣然应允,你沉吟片刻，挥毫泼墨，赋诗一首。,,consume_random_poem()|prop_add(name=momentum; val=m_momentum_gain),,,
>option,daily_quangui_qiushi_refuse,,,断然拒绝,你冷言回绝，权贵的脸色顿时阴沉下来。,,prop_sub(name=momentum; val=l_momentum_cost),,,
random_event,daily_quangui_siyao,trigger_tags=[daily:random:quangui:siyao]|weight=10,,权贵私邀,一位赏识你的权贵私下邀你入府一叙。,,,,
>option,daily_quangui_siyao_accept,,,欣然应允,你整了整衣冠，随来人入府。,,prop_add(name=momentum; val=l_momentum_gain),,,
>option,daily_quangui_siyao_refuse,,,推脱婉拒,你以杂事缠身为由推脱了此次私邀。,,,,,
random_event,daily_shengbing,trigger_tags=[daily:random:shengbing:shengbing]|weight=10,,偶染风寒,长安天气骤变，你感到身体有些不适。,,,,
>option,daily_shengbing_doctor,,,延医问药,你请来郎中把脉开方，花费了不少钱。,,prop_sub(name=money; val=l_money_cost)|prop_add(name=health; val=s_health_recovery),,,
>option,daily_shengbing_ignore,,,硬扛过去,你觉得小病无妨，咬牙硬撑。,,prop_sub(name=health; val=l_health_cost),,,
random_event,daily_tanhuo,trigger_tags=[daily:random:tanhuo:tanhuo]|weight=10,,炭火涨价,寒冬将至，长安城的炭火价格飞涨。,,,,
>option,daily_tanhuo_buy,,,忍痛购买,你咬了咬牙，掏钱买了一筐炭。,,prop_sub(name=money; val=m_money_cost),,,
>option,daily_tanhuo_endure,,,咬牙扛着,你紧了紧单薄的衣衫，决定扛过这个冬天。,,prop_sub(name=health; val=m_health_cost),,,
random_event,daily_suanming,trigger_tags=[daily:random:suanming:suanming]|weight=10,,算命先生,街头一位算命先生拦住你，说看你面相奇特，定非凡人。,,,,
>option,daily_suanming_accept,,,接受算卦,你掏出银钱递了过去。,,prop_sub(name=money; val=m_money_cost)|push_event(event_key=daily_suanming_result),,,
>option,daily_suanming_refuse,,,摇头婉拒,你笑了笑，转身离开。,,,,,
random_event,daily_suanming_result,trigger_tags=[daily:random:suanming:result]|weight=0,,命中注定,算命先生掐指一算，大惊失色，说道：阁下注定出将入相，前途不可限量！,,,,
>option,daily_suanming_result_ok,,,恍然大悟,你心中一震，胸中豪气顿生。,,prop_add(name=inspiration; val=l_xing_gain)|pop_event(),,,
random_event,daily_qujiangchi,trigger_tags=[daily:random:qujiangchi:qujiangchi]|weight=10,,路过曲江池,你路过曲江池畔，春波潋滟，柳色如烟。,,,,
>option,daily_qujiangchi_enjoy,,,驻足观赏,你的心情舒畅了许多。,,prop_add(name=inspiration; val=m_xing_gain),,,
random_event,daily_dayanta,trigger_tags=[daily:random:dayanta:dayanta]|weight=10,,路过大雁塔,大雁塔巍然矗立，有游人拾级而上。,,,,
>option,daily_dayanta_climb,,,登塔远眺,你登上塔顶，长安城尽收眼底，心旷神怡。,,prop_add(name=health; val=m_health_recovery)|prop_add(name=inspiration; val=m_xing_gain),,,
>option,daily_dayanta_pass,,,匆匆路过,你赶着去办事，顺手在塔下市集采买了些物品。,,prop_add(name=money; val=m_money_gain),,,
random_event,daily_xiayu,trigger_tags=[daily:random:xiayu:xiayu]|weight=10,,长安遇雨,天降大雨，道路泥泞难行，你今日往返长安多花了不少时间。,,,,
>option,daily_xiayu_ok,,,冒雨而行,你撑起油纸伞，在雨中艰难前行。,,prop_sub(name=time; val=s_time_cost),,,
random_event,daily_zhengshui,trigger_tags=[daily:random:zhengshui:zhengshui]|weight=10,,征税堵门,征税的队伍堵住了城门，行人排起了长队。,,,,
>option,daily_zhengshui_ok,,,绕路而行,你叹了口气，绕道而行，浪费了不少时间。,,prop_sub(name=time; val=s_time_cost),,,
random_event,daily_gaoshi_cansen,trigger_tags=[daily:random:gaoshi:gaoshi]|weight=10,,高适岑参邀酒,高适和岑参托人捎信，邀你去酒肆一聚。,,,,
>option,daily_gaoshi_cansen_accept,,,欣然赴约,三人对饮，谈诗论赋，豪情万丈。你花了不少酒钱，却获得了新的诗意灵感。,,prop_sub(name=money; val=l_money_cost)|roll_imaginary(level=3),,,
>option,daily_gaoshi_cansen_refuse,,,婉拒,你以琐事繁忙为由婉拒了邀请。,,,,,
random_event,daily_libai_jiu,trigger_tags=[daily:random:libai:libai]|weight=10,,李白邀酒,李白大笑而来，拉着你说道：走，喝酒去！今天我请客！,,,,
>option,daily_libai_jiu_accept,,,不醉不归,你与李白对饮至深夜，酩酊大醉，却也声名远播。,,prop_sub(name=health; val=m_health_cost)|prop_add(name=prestige; val=l_prestige_gain),,,
>option,daily_libai_jiu_refuse,,,婉拒,你以身体不适为由婉拒了李白的盛情。,,,,,
