row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,bai_ye_honeymoon_l0_typea_m0,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition|archetype=baiye,prop_lt(name=progress; val=70),EVT_BAI_YE_HONEYMOON_L0_TYPEA_M0_TITLE,EVT_BAI_YE_HONEYMOON_L0_TYPEA_M0_DESC,,,,,
>option,,,,,EVT_BAI_YE_HONEYMOON_L0_TYPEA_M0_OPT0_DESC,,prop_add(name=progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typea_m1,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition|archetype=baiye,prop_lt(name=progress; val=70),EVT_BAI_YE_HONEYMOON_L0_TYPEA_M1_TITLE,EVT_BAI_YE_HONEYMOON_L0_TYPEA_M1_DESC,,,,,
>option,,,,,EVT_BAI_YE_HONEYMOON_L0_TYPEA_M1_OPT0_DESC,,prop_add(name=progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typea_m2,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition|archetype=baiye,prop_lt(name=progress; val=70),EVT_BAI_YE_HONEYMOON_L0_TYPEA_M2_TITLE,EVT_BAI_YE_HONEYMOON_L0_TYPEA_M2_DESC,,,,,
>option,,,,,EVT_BAI_YE_HONEYMOON_L0_TYPEA_M2_OPT0_DESC,,prop_add(name=progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typeb_m0,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition|archetype=baiye,prop_lt(name=progress; val=70),EVT_BAI_YE_HONEYMOON_L0_TYPEB_M0_TITLE,EVT_BAI_YE_HONEYMOON_L0_TYPEB_M0_DESC,,,,,
>option,,,,,EVT_BAI_YE_HONEYMOON_L0_TYPEB_M0_OPT0_DESC,,prop_add(name=progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typeb_m1,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition|archetype=baiye,prop_lt(name=progress; val=70),EVT_BAI_YE_HONEYMOON_L0_TYPEB_M1_TITLE,EVT_BAI_YE_HONEYMOON_L0_TYPEB_M1_DESC,,,,,
>option,,,,,EVT_BAI_YE_HONEYMOON_L0_TYPEB_M1_OPT0_DESC,,prop_add(name=progress; val=10),,,
