row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,bai_ye_honeymoon_l0_typea_m0,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition,prop_lt(name=career_progress; val=70),门吏索谒钱,“相公今日在书房会客，吩咐过闲人不得打扰。”说罢，目光在你腰间钱袋上停了一停，又移向别处。廊下传来脚步声，一个捧茶的小仆走过，这门子忽然厉声喝道：“站远些！也不看看这是什么地方！”转头又对你压低声音：“若要通报，总得先让在下沾些墨香。”,,,,,
>option,,,,,取出银钱递进门子袖中，低声道劳烦。,,prop_sub(name=money; val=10) | prop_sub(name=money; val=12.5) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typea_m1,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition,prop_lt(name=career_progress; val=70),门缝里的眼睛,“谁呀？”你报了姓名和来意，他面无表情地哼了一声，目光往你的袖口处瞟了一瞬，随即别过脸去，像是在等待什么。冬日的寒风吹得你衣袍猎猎作响。他依然不开门，只是用脚尖轻轻点着门槛，嘴里哼着一支不成调的小曲。天色渐渐暗了。,,,,,
>option,,,,,从袖中取出一锭银两递过去,,prop_sub(name=money; val=12.5) | prop_sub(name=money; val=15) | prop_add(name=career_progress; val=12.5),,,
random_event,bai_ye_honeymoon_l0_typeb_m0,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition,prop_lt(name=career_progress; val=70),寒门立雪,“相爷今日事务繁忙，你且候着。”你立在阶下，寒风中衣袍猎猎作响。远处传来其他官员车马声，门子立即堆笑迎上前去，点头哈腰引入门内。待你再看时，他又恢复了那副倨傲神情，自顾自地拨弄炉灰。一个时辰过去，檐角冰凌滴落的水珠已在你肩头结了一层薄霜。,,,,,
>option,,,,,递上名帖并附上银两,,prop_sub(name=money; val=10) | prop_sub(name=health; val=5) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typeb_m1,trigger_tags=[action:main:baiye]|weight=10|era=745_ambition,prop_lt(name=career_progress; val=70),寒门久候,“相公今日议事，恐不得闲。且候着。”语罢，自顾与旁侧小厮说笑。日影渐移，檐角冰棱滴水，你立于阶下，足胫渐僵，腹中饥鸣。门子偶尔抬眼，见你神色依旧，便又低头剔指甲，再无他话。如是半个时辰过去，门内并无人出入，亦无传唤之意。,,,,,
>option,,,,,近前拱手，低声道：“劳烦通融。”,,prop_sub(name=money; val=12.5) | prop_sub(name=health; val=7.5) | prop_add(name=career_progress; val=12.5),,,
random_event,bai_ye_honeymoon_l0_typeb_m2,trigger_tags=action:main:baiye|weight=10|era=745_ambition,prop_lt(name=career_progress; val=70),雨中等候,你持着名刺来到右相府前的东角门。门子瞄了一眼你的青衫，也不接拜帖，只说了句“相公今日议事，无暇见客”，便缩回门房去了。细雨渐密，你退到廊檐下站着，衣襟湿了大半。门房里有炭火和茶香，几个门子围着炉子闲话，偶尔有人探头看你一眼，又缩回去了。两个时辰过去，门始终没开。街对面卖胡饼的老者默默递过来半张油布，指了指天色。,,,,,
>option,,,,,谢过老者，继续冒雨等候,,prop_sub(name=money; val=10) | prop_sub(name=health; val=5) | prop_add(name=career_progress; val=10),,,
