row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,duotai_humiliation_talent_commodification_gateway_fangshi_identity_qingliu_official,trigger_tags=[emotion_pair:pair_rebellion/TARGET_NPC_DUFU:thatched_grass/VIBE_PHILOSOPHY_ZEN:temple_bell/ENV_NATURE_NIGHTMOON:cold_moon/action:humiliation_talent_commodification/TARGET_IDENTITY_QINGLIU_OFFICIAL/TARGET_NPC_ZHENGQIAN/ENV_NATURE_NIGHTMOON:cold_moon/TARGET_NPC_DUFU:thatched_grass/VIBE_AESTHETIC_ELEGANT:ink_stone/action:scene_fangshi]|weight=10|era=747_kuangda|store_to=747_kuangda.fangshi|archetype=fangshi,emo_gt(name=ambition; val=50),emo_lt(name=ambition; val=100),EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_FANGSHI_IDENTITY_QINGLIU_OFFICIAL_DESC,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_FANGSHI_IDENTITY_QINGLIU_OFFICIAL_ONENTER,,,,,
>option,,,,,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_FANGSHI_IDENTITY_QINGLIU_OFFICIAL_OPT0_DESC,,imagery_add(name=ink_stone),,,
>option,,,,,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_FANGSHI_IDENTITY_QINGLIU_OFFICIAL_OPT1_DESC,,,,,
>option,,,,,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_FANGSHI_IDENTITY_QINGLIU_OFFICIAL_OPT2_DESC,,imagery_add(name=cold_moon),,,
random_event,duotai_humiliation_talent_commodification_gateway_jiaoyou_identity_qingliu_official,trigger_tags=[emotion_pair:pair_rebellion/TARGET_NPC_DUFU:thatched_grass/VIBE_PHILOSOPHY_ZEN:temple_bell/ENV_NATURE_NIGHTMOON:cold_moon/action:humiliation_talent_commodification/TARGET_IDENTITY_QINGLIU_OFFICIAL/TARGET_NPC_ZHENGQIAN/VIBE_PHILOSOPHY_ZEN:temple_bell/VIBE_AESTHETIC_ELEGANT:ink_stone/ACTION_SOCIAL_PARTING:willow_branch/action:scene_jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou|archetype=jiaoyou,emo_gt(name=ambition; val=50),emo_lt(name=ambition; val=100),EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_JIAOYOU_IDENTITY_QINGLIU_OFFICIAL_DESC,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_JIAOYOU_IDENTITY_QINGLIU_OFFICIAL_ONENTER,,,,,
>option,,,,,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_JIAOYOU_IDENTITY_QINGLIU_OFFICIAL_OPT0_DESC,,imagery_add(name=ink_stone),,,
>option,,,,,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_JIAOYOU_IDENTITY_QINGLIU_OFFICIAL_OPT1_DESC,,,,,
>option,,,,,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_JIAOYOU_IDENTITY_QINGLIU_OFFICIAL_OPT2_DESC,,imagery_add(name=temple_bell),,,
random_event,duotai_humiliation_talent_commodification_gateway_baiye_identity_qingliu_official,trigger_tags=[emotion_pair:pair_rebellion/TARGET_NPC_DUFU:thatched_grass/VIBE_PHILOSOPHY_ZEN:temple_bell/ENV_NATURE_NIGHTMOON:cold_moon/action:humiliation_talent_commodification/TARGET_IDENTITY_QINGLIU_OFFICIAL/TARGET_NPC_ZHENGQIAN/TARGET_FACTION_ROYAL:jade_step/TARGET_NPC_DUFU:thatched_grass/ENV_NATURE_NIGHTMOON:cold_moon/action:scene_baiye]|weight=10|era=747_kuangda|store_to=747_kuangda.baiye|archetype=baiye,emo_gt(name=ambition; val=50),emo_lt(name=ambition; val=100),EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_BAIYE_IDENTITY_QINGLIU_OFFICIAL_DESC,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_BAIYE_IDENTITY_QINGLIU_OFFICIAL_ONENTER,,,,,
>option,,,,,EVT_DUOTAI_HUMILIATION_TALENT_COMMODIFICATION_GATEWAY_BAIYE_IDENTITY_QINGLIU_OFFICIAL_OPT0_DESC,,imagery_add(name=jade_step),,,
