row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,kuangke_qingliu_libai_emotion_arrogance_identity_qingliu_owner,trigger_tags=[TARGET_NPC_LIBAI:wine_gourd/TARGET_IDENTITY_QINGLIU_OWNER/ACTOR_EMOTION_ARROGANCE/emotion_pair:pair_arrogance/action:main:jiaoyou]|weight=10|era=747_kuangda|archetype=jiaoyou,trait_has(name=kuangda_kuangke)|emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_KUANGKE_QINGLIU_LIBAI_EMOTION_ARROGANCE_IDENTITY_QINGLIU_OWNER_TITLE,EVT_KUANGKE_QINGLIU_LIBAI_EMOTION_ARROGANCE_IDENTITY_QINGLIU_OWNER_DESC,,,,,
>option,,,"trait_has(name=kuangda_kuangke; failed_hint="""")",,EVT_KUANGKE_QINGLIU_LIBAI_EMOTION_ARROGANCE_IDENTITY_QINGLIU_OWNER_OPT0_DESC,,emo_add(name=TRANQUILITY; val=10),,,
random_event,kuangke_qingliu_libai_emotion_tranquility_identity_qingliu_owner,trigger_tags=[TARGET_NPC_LIBAI:wine_gourd/TARGET_IDENTITY_QINGLIU_OWNER/ACTOR_EMOTION_TRANQUILITY/emotion_pair:pair_tranquility/action:main:jiaoyou]|weight=10|era=747_kuangda|archetype=jiaoyou,trait_has(name=kuangda_kuangke)|emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_KUANGKE_QINGLIU_LIBAI_EMOTION_TRANQUILITY_IDENTITY_QINGLIU_OWNER_TITLE,EVT_KUANGKE_QINGLIU_LIBAI_EMOTION_TRANQUILITY_IDENTITY_QINGLIU_OWNER_DESC,,,,,
>option,,,"trait_has(name=kuangda_kuangke; failed_hint="""")",,EVT_KUANGKE_QINGLIU_LIBAI_EMOTION_TRANQUILITY_IDENTITY_QINGLIU_OWNER_OPT0_DESC,,emo_add(name=TRANQUILITY; val=10),,,
random_event,kuangke_qingliu_wangwei_emotion_tranquility_identity_zhuoliu_official,trigger_tags=[VIBE_PHILOSOPHY_ZEN:temple_bell/TARGET_IDENTITY_ZHUOLIU_OFFICIAL/ACTOR_EMOTION_TRANQUILITY/emotion_pair:pair_tranquility/action:main:jiaoyou]|weight=10|era=747_kuangda|archetype=jiaoyou,trait_has(name=kuangda_kuangke)|emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_KUANGKE_QINGLIU_WANGWEI_EMOTION_TRANQUILITY_IDENTITY_ZHUOLIU_OFFICIAL_TITLE,EVT_KUANGKE_QINGLIU_WANGWEI_EMOTION_TRANQUILITY_IDENTITY_ZHUOLIU_OFFICIAL_DESC,,,,,
>option,,,"trait_has(name=kuangda_kuangke; failed_hint="""")",,EVT_KUANGKE_QINGLIU_WANGWEI_EMOTION_TRANQUILITY_IDENTITY_ZHUOLIU_OFFICIAL_OPT0_DESC,,emo_add(name=TRANQUILITY; val=10),,,
random_event,kuangke_qingliu_wangwei_emotion_sorrow_identity_zhuoliu_official,trigger_tags=[VIBE_PHILOSOPHY_ZEN:temple_bell/TARGET_IDENTITY_ZHUOLIU_OFFICIAL/ACTOR_EMOTION_SORROW/emotion_pair:pair_sorrow/action:main:denggao]|weight=10|era=747_kuangda|archetype=jiaoyou,trait_has(name=kuangda_kuangke)|emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_KUANGKE_QINGLIU_WANGWEI_EMOTION_SORROW_IDENTITY_ZHUOLIU_OFFICIAL_TITLE,EVT_KUANGKE_QINGLIU_WANGWEI_EMOTION_SORROW_IDENTITY_ZHUOLIU_OFFICIAL_DESC,,,,,
>option,,,"trait_has(name=kuangda_kuangke; failed_hint="""")",,EVT_KUANGKE_QINGLIU_WANGWEI_EMOTION_SORROW_IDENTITY_ZHUOLIU_OFFICIAL_OPT0_DESC,,emo_add(name=TRANQUILITY; val=10),,,
random_event,kuangke_qingliu_zhengqian_emotion_anger_identity_qingliu_official,trigger_tags=[ENV_NATURE_SNOWSTORM:lone_snow/TARGET_IDENTITY_QINGLIU_OFFICIAL/ACTOR_EMOTION_ANGER/emotion_pair:pair_anger/action:main:fangshi]|weight=10|era=747_kuangda|archetype=jiaoyou,trait_has(name=kuangda_kuangke)|emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_KUANGKE_QINGLIU_ZHENGQIAN_EMOTION_ANGER_IDENTITY_QINGLIU_OFFICIAL_TITLE,EVT_KUANGKE_QINGLIU_ZHENGQIAN_EMOTION_ANGER_IDENTITY_QINGLIU_OFFICIAL_DESC,,,,,
>option,,,"trait_has(name=kuangda_kuangke; failed_hint="""")",,EVT_KUANGKE_QINGLIU_ZHENGQIAN_EMOTION_ANGER_IDENTITY_QINGLIU_OFFICIAL_OPT0_DESC,,emo_add(name=TRANQUILITY; val=10),,,
