row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,kuangke_zhuoliu_zoo_animal,trigger_tags=[action:main:baiye]|weight=10|era=747_kuangda|store_to=747_kuangda.baiye,trait_has(name=kuangda_kuangke),雅间的余兴,那几位半醉的官员把目光投过来，不凶狠，只是好奇——像看一只据说会说话的鹦鹉。他说完那句关于崔九爷润笔的事，给自己斟了一杯酒，没给你斟。一桌人等着你接话。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""酒壶就在他右手边半步——伸手就能够到.他甚至能在脑子里看见自己斟满那些杯子的画面:手腕微倾,酒线不溅不洒.但他不是那种用斟酒来换座位的人.上一次他在宴席上主动把身段放低,那是十年前的事了.壶嘴的锡光刺了他一眼,他的手始终垂着."")",,跨过门槛，拿起酒壶，给桌上每一只空杯斟满。,,prop_sub(name=money; val=10) | prop_add(name=burnout; val=10) | prop_add(name=fatigue; val=10) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=1) | prop_sub(name=money; val=3) | emo_add(name=SORROW; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""名帖就搁在袖袋里,纸角隔着布料硌着肋骨.他甚至记得上头写了自己最新的官职——从八品下,右卫率府兵曹参军.但他没有那种把名字当秤砣扔出去的习惯.这些人桌上的筹码不是诗稿,是门荫、是连襟、是吏部考功的暗账.名帖被指尖又往袖底塞进去半寸."")",,从袖中取出名帖，躬身递向座中面生的那位绯袍。,,prop_sub(name=money; val=10) | prop_add(name=burnout; val=10) | prop_add(name=fatigue; val=10) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=-2) | prop_add(name=money; val=5) | prop_sub(name=health; val=2) | emo_add(name=AMBITION; val=10),,,
>option,,,,,转身，把半敞的门彻底拉开，走出去，不回头。,,prop_sub(name=money; val=10) | prop_add(name=burnout; val=10) | prop_add(name=fatigue; val=10) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | emo_add(name=ARROGANCE; val=19) | imagery_add(name=VIBE_AESTHETIC_ELEGANT:ink_stone),,,
random_event,kuangke_zhuoliu_pride_ransom,trigger_tags=[action:main:jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou,trait_has(name=kuangda_kuangke),保释金,牢房外的过道里，一张瘸腿木桌横在日光和阴影的分界线上。书吏坐在阴影里写字，你站在日光下等。他翻到你的名籍时笔停了——“杜子美？”食指在册页上点住那个名字，抬头看你一眼。眼角先皱，嘴角后牵。他把保释条子从桌面上推过来，那页纸在瘸腿桌的倾斜里自己滑到你手边。“八贯。”拇指在金额上捻了捻，像在搓一张当票的边角。“上面说了，要是你再当堂骂一句，就十二贯。要是写进诗里，再加两贯。”他说这些话时笔已经回到纸上写下一行了，声音压得平平的，像跟一只被栓住的狗报食价。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""石砖上的凉意透进膝盖骨的一瞬间——这个温度是熟悉的.十年前他在汝阳王府的门槛外跪过,那时膝盖压的是朱漆门槛,磕下去头还能抬起来.现在后颈僵直的力从脊梁一路灌到膝弯,他的膝盖不会为这种笑声弯下去."")",,双膝落上石砖，额头触及桌脚阴影。,,prop_add(name=sick; val=8) | prop_add(name=burnout; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=1) | prop_sub(name=money; val=3) | emo_add(name=SORROW; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""便条的纸角已经触到书吏的笔杆——再推一寸就算递过去了.上次动用这条线是跟一个税吏喝了一夜酒换的,那是另一个长安,另一个杜子美.如今推过去的这只手,已经在无数张酒桌上把袖子拍到桌面砸过杯."")",,从袖中摸出名帖推过桌面，帖上夹着一张坊州故吏的便条。,,prop_add(name=sick; val=8) | prop_add(name=burnout; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=-2) | prop_add(name=money; val=5) | prop_sub(name=health; val=2) | emo_add(name=AMBITION; val=10),,,
>option,,,,,把保释条子撕成四片搁回桌面，转身往牢房里走。,,prop_add(name=sick; val=8) | prop_add(name=burnout; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | prop_sub(name=health; val=16) | prop_add(name=sick; val=8) | prop_add(name=burnout; val=10) | emo_add(name=ARROGANCE; val=16) | imagery_add(name=TARGET_OBJECT_SWORD:cold_blade),,,
random_event,kuangke_zhuoliu_persona_hostage,trigger_tags=[action:main:fangshi]|weight=10|era=747_kuangda|store_to=747_kuangda.fangshi,trait_has(name=kuangda_kuangke),赏花帖,信在手上停了很久——不是内容多难读，而是信末那句附言印进指甲缝里。灰衣仆从站在三步外，不等回话，只是看。他的眼珠跟着你折信纸的指节从左移到右。巷口有马匹打喷嚏的声音。你把信叠回原样的时候，纸边割进食指第二个关节，没流血。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""信已折回原样——那条折痕恰好对齐他胸前衣襟的第三颗纽扣.现在只需要把它滑进去,然后对那仆从点个头.但他不是逢迎者,他的颈椎记得自己拒绝过多少次这种只需弯一下的机会.衣襟就那么敞着,信悬在纽扣前一寸,直到仆从清嗓子的声音替他做了决定——他还在等."")",,将信收入怀中，对仆从点头应允，随其前往。,,prop_sub(name=money; val=10) | prop_add(name=burnout; val=5) | emo_add(name=ANGER; val=8) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=1) | prop_sub(name=money; val=3) | emo_add(name=SORROW; val=10),,,
