row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,qingliu_passive_benefits_libai_spiritual_anchor_identity_qingliu_owner,trigger_tags=[TARGET_NPC_LIBAI:wine_gourd/TARGET_IDENTITY_QINGLIU_OWNER/VIBE_PHILOSOPHY_ZEN:temple_bell/ACTION_SOCIAL_PARTING:willow_branch/emotion_pair:pair_tranquility/action:main:fangshi]|weight=10|era=747_kuangda|archetype=fangshi,emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_QINGLIU_PASSIVE_BENEFITS_LIBAI_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OWNER_TITLE,EVT_QINGLIU_PASSIVE_BENEFITS_LIBAI_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OWNER_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_QINGLIU_PASSIVE_BENEFITS_LIBAI_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OWNER_OPT0_DESC,,emo_add(name=TRANQUILITY; val=11) | imagery_add(name=wine_gourd),,,
>option,,,,,EVT_QINGLIU_PASSIVE_BENEFITS_LIBAI_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OWNER_OPT1_DESC,,emo_add(name=SORROW; val=11),,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_QINGLIU_PASSIVE_BENEFITS_LIBAI_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OWNER_OPT2_DESC,,emo_add(name=ambition; val=16) | emo_add(name=SORROW; val=6) | imagery_add(name=wine_gourd),,,
random_event,qingliu_passive_benefits_wangwei_silent_bailout_identity_zhuoliu_official,trigger_tags=[VIBE_AESTHETIC_ELEGANT:ink_stone/TARGET_IDENTITY_ZHUOLIU_OFFICIAL/VIBE_AESTHETIC_ELEGANT:ink_stone/ENV_NATURE_NIGHTMOON:cold_moon/emotion_pair:pair_tranquility/action:main:fangshi]|weight=10|era=747_kuangda|archetype=fangshi,emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_QINGLIU_PASSIVE_BENEFITS_WANGWEI_SILENT_BAILOUT_IDENTITY_ZHUOLIU_OFFICIAL_TITLE,EVT_QINGLIU_PASSIVE_BENEFITS_WANGWEI_SILENT_BAILOUT_IDENTITY_ZHUOLIU_OFFICIAL_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_QINGLIU_PASSIVE_BENEFITS_WANGWEI_SILENT_BAILOUT_IDENTITY_ZHUOLIU_OFFICIAL_OPT0_DESC,,emo_add(name=TRANQUILITY; val=10) | imagery_add(name=ink_stone),,,
>option,,,,,EVT_QINGLIU_PASSIVE_BENEFITS_WANGWEI_SILENT_BAILOUT_IDENTITY_ZHUOLIU_OFFICIAL_OPT1_DESC,,emo_add(name=SORROW; val=10),,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_QINGLIU_PASSIVE_BENEFITS_WANGWEI_SILENT_BAILOUT_IDENTITY_ZHUOLIU_OFFICIAL_OPT2_DESC,,emo_add(name=ambition; val=15) | emo_add(name=SORROW; val=5) | imagery_add(name=ink_stone),,,
random_event,qingliu_passive_benefits_zhengqian_spiritual_anchor_identity_qingliu_official,trigger_tags=[TARGET_NPC_DUFU:thatched_grass/TARGET_IDENTITY_QINGLIU_OFFICIAL/VIBE_PHILOSOPHY_ZEN:temple_bell/ACTION_SOCIAL_PARTING:willow_branch/emotion_pair:pair_tranquility/action:main:fangshi]|weight=10|era=747_kuangda|archetype=fangshi,emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_QINGLIU_PASSIVE_BENEFITS_ZHENGQIAN_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OFFICIAL_TITLE,EVT_QINGLIU_PASSIVE_BENEFITS_ZHENGQIAN_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OFFICIAL_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_QINGLIU_PASSIVE_BENEFITS_ZHENGQIAN_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OFFICIAL_OPT0_DESC,,emo_add(name=TRANQUILITY; val=11) | imagery_add(name=thatched_grass),,,
>option,,,,,EVT_QINGLIU_PASSIVE_BENEFITS_ZHENGQIAN_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OFFICIAL_OPT1_DESC,,emo_add(name=SORROW; val=11) | imagery_add(name=thatched_grass),,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_QINGLIU_PASSIVE_BENEFITS_ZHENGQIAN_SPIRITUAL_ANCHOR_IDENTITY_QINGLIU_OFFICIAL_OPT2_DESC,,emo_add(name=ambition; val=16) | emo_add(name=SORROW; val=6),,,
random_event,qingliu_passive_benefits_gaoshi_silent_bailout_identity_qingliu_official,trigger_tags=[VIBE_THEME_MARTIAL:giant_roc/TARGET_IDENTITY_QINGLIU_OFFICIAL/VIBE_AESTHETIC_ELEGANT:ink_stone/ENV_NATURE_NIGHTMOON:cold_moon/emotion_pair:pair_tranquility/action:main:fangshi]|weight=10|era=747_kuangda|archetype=fangshi,emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_QINGLIU_PASSIVE_BENEFITS_GAOSHI_SILENT_BAILOUT_IDENTITY_QINGLIU_OFFICIAL_TITLE,EVT_QINGLIU_PASSIVE_BENEFITS_GAOSHI_SILENT_BAILOUT_IDENTITY_QINGLIU_OFFICIAL_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_QINGLIU_PASSIVE_BENEFITS_GAOSHI_SILENT_BAILOUT_IDENTITY_QINGLIU_OFFICIAL_OPT0_DESC,,emo_add(name=TRANQUILITY; val=10),,,
>option,,,,,EVT_QINGLIU_PASSIVE_BENEFITS_GAOSHI_SILENT_BAILOUT_IDENTITY_QINGLIU_OFFICIAL_OPT1_DESC,,emo_add(name=SORROW; val=10),,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_QINGLIU_PASSIVE_BENEFITS_GAOSHI_SILENT_BAILOUT_IDENTITY_QINGLIU_OFFICIAL_OPT2_DESC,,emo_add(name=ambition; val=15) | emo_add(name=SORROW; val=5),,,
