row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,zhuoliu_fengying_banquet_assignment,trigger_tags=[TARGET_FACTION_ROYAL:jade_step/ACTION_ENTERTAIN_DRINK:empty_cup/action:main:jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou|archetype=jiaoyou,trait_has(name=kuangda_fengying) | emo_gt(name=ambition; val=30) | emo_lt(name=ambition; val=100),EVT_ZHUOLIU_FENGYING_BANQUET_ASSIGNMENT_TITLE,EVT_ZHUOLIU_FENGYING_BANQUET_ASSIGNMENT_DESC,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,EVT_ZHUOLIU_FENGYING_BANQUET_ASSIGNMENT_OPT0_DESC,,emo_add(name=ARROGANCE; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,EVT_ZHUOLIU_FENGYING_BANQUET_ASSIGNMENT_OPT1_DESC,,emo_add(name=ambition; val=10),,,
>option,,,,,EVT_ZHUOLIU_FENGYING_BANQUET_ASSIGNMENT_OPT2_DESC,,emo_add(name=SORROW; val=10),,,
random_event,zhuoliu_fengying_silent_table,trigger_tags=[TARGET_NPC_DUFU:thatched_grass/ACTION_ENTERTAIN_DRINK:empty_cup/action:main:jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou|archetype=jiaoyou,trait_has(name=kuangda_fengying) | emo_gt(name=ambition; val=30) | emo_lt(name=ambition; val=100),EVT_ZHUOLIU_FENGYING_SILENT_TABLE_TITLE,EVT_ZHUOLIU_FENGYING_SILENT_TABLE_DESC,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,EVT_ZHUOLIU_FENGYING_SILENT_TABLE_OPT0_DESC,,emo_add(name=ARROGANCE; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,EVT_ZHUOLIU_FENGYING_SILENT_TABLE_OPT1_DESC,,emo_add(name=ambition; val=10),,,
>option,,,,,EVT_ZHUOLIU_FENGYING_SILENT_TABLE_OPT2_DESC,,emo_add(name=SORROW; val=8),,,
random_event,zhuoliu_fengying_borrowed_poem,trigger_tags=[VIBE_AESTHETIC_ELEGANT:ink_stone/ENV_POLITICS_PROSPER:cloud_and_sun/action:main:baiye]|weight=10|era=747_kuangda|store_to=747_kuangda.baiye|archetype=baiye,trait_has(name=kuangda_fengying) | emo_gt(name=ambition; val=30) | emo_lt(name=ambition; val=100),EVT_ZHUOLIU_FENGYING_BORROWED_POEM_TITLE,EVT_ZHUOLIU_FENGYING_BORROWED_POEM_DESC,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,EVT_ZHUOLIU_FENGYING_BORROWED_POEM_OPT0_DESC,,emo_add(name=ARROGANCE; val=13),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,EVT_ZHUOLIU_FENGYING_BORROWED_POEM_OPT1_DESC,,emo_add(name=ambition; val=10),,,
>option,,,,,EVT_ZHUOLIU_FENGYING_BORROWED_POEM_OPT2_DESC,,emo_add(name=SORROW; val=13),,,
random_event,zhuoliu_fengying_ledger_gap,trigger_tags=[VIBE_AESTHETIC_ELEGANT:ink_stone/TARGET_FACTION_ROYAL:jade_step/action:main:fangshi]|weight=10|era=747_kuangda|store_to=747_kuangda.fangshi|archetype=fangshi,trait_has(name=kuangda_fengying) | emo_gt(name=ambition; val=30) | emo_lt(name=ambition; val=100),EVT_ZHUOLIU_FENGYING_LEDGER_GAP_TITLE,EVT_ZHUOLIU_FENGYING_LEDGER_GAP_DESC,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,EVT_ZHUOLIU_FENGYING_LEDGER_GAP_OPT0_DESC,,"emo_add(name=ARROGANCE; val=10) | leverage_add(target_tag=""TARGET_IDENTITY_ZHUOLIU_OFFICIAL""; key=""zhuoliu_accounting_fraud"")",,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,EVT_ZHUOLIU_FENGYING_LEDGER_GAP_OPT1_DESC,,"emo_add(name=ambition; val=10) | leverage_add(target_tag=""TARGET_IDENTITY_ZHUOLIU_OFFICIAL""; key=""zhuoliu_accounting_fraud"")",,,
>option,,,,,EVT_ZHUOLIU_FENGYING_LEDGER_GAP_OPT2_DESC,,"emo_add(name=SORROW; val=10) | leverage_add(target_tag=""TARGET_IDENTITY_ZHUOLIU_OFFICIAL""; key=""zhuoliu_accounting_fraud"")",,,
