row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,zhuoliu_lieqi_cockfight_ode_identity_quangui,trigger_tags=[TARGET_FACTION_ROYAL:jade_step/ACTION_ENTERTAIN_DRINK:empty_cup/action:main:jiaoyou/TARGET_IDENTITY_QUANGUI]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou|archetype=jiaoyou,trait_has(name=kuangda_kuangke) | trait_has(name=kuangda_fengying) | trait_has(name=kuangda_zuanying),EVT_ZHUOLIU_LIEQI_COCKFIGHT_ODE_IDENTITY_QUANGUI_TITLE,EVT_ZHUOLIU_LIEQI_COCKFIGHT_ODE_IDENTITY_QUANGUI_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_ZHUOLIU_LIEQI_COCKFIGHT_ODE_IDENTITY_QUANGUI_OPT0_DESC,,"emo_add(name=ARROGANCE; val=15) | leverage_add(target_tag=""TARGET_IDENTITY_QUANGUI""; key=""quangui_cockfight_gambling"")",,,
>option,,,trait_has(name=kuangda_fengying),,EVT_ZHUOLIU_LIEQI_COCKFIGHT_ODE_IDENTITY_QUANGUI_OPT1_DESC,,"emo_add(name=SORROW; val=12) | leverage_add(target_tag=""TARGET_IDENTITY_QUANGUI""; key=""quangui_cockfight_gambling"")",,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_ZHUOLIU_LIEQI_COCKFIGHT_ODE_IDENTITY_QUANGUI_OPT2_DESC,,"emo_add(name=ambition; val=12) | leverage_add(target_tag=""TARGET_IDENTITY_QUANGUI""; key=""quangui_cockfight_gambling"")",,,
random_event,zhuoliu_lieqi_poverty_tourism,trigger_tags=[ENV_NATURE_SNOWSTORM:lone_snow/TARGET_NPC_DUFU:thatched_grass/action:main:fangshi]|weight=10|era=747_kuangda|store_to=747_kuangda.fangshi|archetype=fangshi,trait_has(name=kuangda_kuangke) | trait_has(name=kuangda_fengying) | trait_has(name=kuangda_zuanying),EVT_ZHUOLIU_LIEQI_POVERTY_TOURISM_TITLE,EVT_ZHUOLIU_LIEQI_POVERTY_TOURISM_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_ZHUOLIU_LIEQI_POVERTY_TOURISM_OPT0_DESC,,emo_add(name=ANGER; val=15),,,
>option,,,trait_has(name=kuangda_fengying),,EVT_ZHUOLIU_LIEQI_POVERTY_TOURISM_OPT1_DESC,,emo_add(name=SORROW; val=15),,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_ZHUOLIU_LIEQI_POVERTY_TOURISM_OPT2_DESC,,emo_add(name=ambition; val=12),,,
random_event,zhuoliu_lieqi_swill_gambit_identity_quangui,trigger_tags=[ACTION_ENTERTAIN_DRINK:empty_cup/TARGET_FACTION_ROYAL:jade_step/action:main:jiaoyou/TARGET_IDENTITY_QUANGUI]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou|archetype=jiaoyou,trait_has(name=kuangda_kuangke) | trait_has(name=kuangda_fengying) | trait_has(name=kuangda_zuanying),EVT_ZHUOLIU_LIEQI_SWILL_GAMBIT_IDENTITY_QUANGUI_TITLE,EVT_ZHUOLIU_LIEQI_SWILL_GAMBIT_IDENTITY_QUANGUI_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_ZHUOLIU_LIEQI_SWILL_GAMBIT_IDENTITY_QUANGUI_OPT0_DESC,,"emo_add(name=ARROGANCE; val=16) | leverage_add(target_tag=""TARGET_IDENTITY_QUANGUI""; key=""quangui_swill_gamble"")",,,
>option,,,trait_has(name=kuangda_fengying),,EVT_ZHUOLIU_LIEQI_SWILL_GAMBIT_IDENTITY_QUANGUI_OPT1_DESC,,"emo_add(name=SORROW; val=19) | leverage_add(target_tag=""TARGET_IDENTITY_QUANGUI""; key=""quangui_swill_gamble"")",,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_ZHUOLIU_LIEQI_SWILL_GAMBIT_IDENTITY_QUANGUI_OPT2_DESC,,"emo_add(name=ambition; val=16) | leverage_add(target_tag=""TARGET_IDENTITY_QUANGUI""; key=""quangui_swill_gamble"")",,,
