row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,zhuoliu_zuanying_dinner_party_broker,trigger_tags=[action:main:jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou,trait_has(name=kuangda_zuanying),酒宴上的旧账,“子美兄，我有个同僚想见户部的人。价钱好说。”说这话时他的眼睛没看你，看的是你身后那扇门——门后是今日宴席上所有正在交易的秘密。他笃定你还在这张桌上。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,掷杯在地，拂袖间掀翻案上酒盏。,,prop_add(name=money; val=8) | prop_add(name=fatigue; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | emo_add(name=ARROGANCE; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,堆出笑容，双手捧起酒壶为对方斟满。,,prop_add(name=money; val=8) | prop_add(name=fatigue; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=1) | prop_sub(name=money; val=3) | emo_add(name=SORROW; val=10),,,
>option,,,,,沉默片刻，问他那位同僚手里有什么可以交换。,,prop_add(name=money; val=8) | prop_add(name=fatigue; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | prop_add(name=money; val=12) | prop_add(name=fatigue; val=8) | emo_add(name=AMBITION; val=10),,,
random_event,zhuoliu_zuanying_gathering_sunk_cost,trigger_tags=[action:main:jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou,trait_has(name=kuangda_zuanying),旧债新袍,“客人又来了。”他说完就走了，托盘在肘边晃了一下，映出灯影——那块漆掉了一块，露出旧木，上次你见它时还没掉。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,名帖往地上一掷，转身踩着新靴踏出廊去。,,prop_sub(name=money; val=6) | prop_add(name=BURNOUT; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | emo_add(name=ARROGANCE; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,腰一弯，笑容堆满脸，双手将名帖捧过头顶。,,prop_sub(name=money; val=6) | prop_add(name=BURNOUT; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=1) | prop_sub(name=money; val=3) | emo_add(name=SORROW; val=10),,,
>option,,,,,掂了掂袖中另一条消息，走向厅侧等他的管事。,,prop_sub(name=money; val=6) | prop_add(name=BURNOUT; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | prop_add(name=LITERARY_FAME; val=3) | prop_add(name=BURNOUT; val=10) | emo_add(name=ANGER; val=13),,,
random_event,zhuoliu_zuanying_intelligence_commodity,trigger_tags=[action:main:jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou,trait_has(name=kuangda_zuanying),茶案上的价码,东市茶肆二楼临窗的位置，一个绸缎商把一张纸条推过案面。纸上只写着一个官员的名字，墨迹已干。他将茶碗搁在纸条旁边，碗底在纸上压出一圈湿痕。“上次你在盐商老张那儿‘问’的事，我听说过。”目光越过碗沿，不紧不慢地看着你，“我不是来为难你的。我也是来做生意的。”窗外楼下，东市的骡马队正在卸货，鞭子抽在青石板上的声响传上来。绸缎商从袖口又抽出一张叠好的纸，“这是价钱。你看看。”,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,拂袖将茶碗扫落，纸条在湿痕里裂成两半。,,prop_add(name=fatigue; val=6) | emo_add(name=SORROW; val=6) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=6) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | emo_add(name=ARROGANCE; val=11),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,双手接过那张报价单，脸上堆出笑容，腰已弯下三分。,,prop_add(name=fatigue; val=6) | emo_add(name=SORROW; val=6) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=6) | flag_int_append(name=kuangda; val=1) | prop_sub(name=money; val=3) | emo_add(name=SORROW; val=11),,,
>option,,,,,指尖压住纸条一角，不翻也不推，只问他要的这个名字，市价几何。,,prop_add(name=fatigue; val=6) | emo_add(name=SORROW; val=6) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=6) | prop_add(name=money; val=16) | prop_add(name=fatigue; val=6) | emo_add(name=SORROW; val=11),,,
random_event,zhuoliu_zuanying_ghostwriter_confront,trigger_tags=[action:main:baiye]|weight=10|era=747_kuangda|store_to=747_kuangda.baiye,trait_has(name=kuangda_zuanying),代笔旧账,贡院东墙外的小酒馆，灯笼在秋风中晃。几个举子的议论声从角落飘来——「那首《登科后》真是意气风发」「听说是张侍郎公子的手笔」。你认得那首诗。三个月前在张府后院，你用了两壶酒的时间把那些句子排好，换来一纸谒帖的承诺。现在张公子端着酒杯走过来了，靴底踩在松木地板上，每一步都稳得很。「子美兄，我爹很满意上回那首。这次再来一首？」酒杯往你这边推了半寸，杯沿上的唇印还没干透。他的语气像在谈一笔已经成交的买卖。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,拂袖打翻那杯酒，杯盏在案上滚出刺耳的声响。,,prop_sub(name=LITERARY_FAME; val=3) | prop_add(name=BURNOUT; val=8) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | emo_add(name=ARROGANCE; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint="""")",,双手接过酒杯一口饮尽，堆着笑连声应承。,,prop_sub(name=LITERARY_FAME; val=3) | prop_add(name=BURNOUT; val=8) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=1) | prop_sub(name=money; val=3) | emo_add(name=SORROW; val=10),,,
>option,,,,,用食指抵住杯沿慢慢推回半寸，报出一个诗题和价码。,,prop_sub(name=LITERARY_FAME; val=3) | prop_add(name=BURNOUT; val=8) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | prop_add(name=LITERARY_FAME; val=3) | prop_add(name=BURNOUT; val=13) | emo_add(name=ANGER; val=16),,,
random_event,zhuoliu_zuanying_poverty_persona,trigger_tags=[action:main:fangshi]|weight=10|era=747_kuangda|store_to=747_kuangda.fangshi,trait_has(name=kuangda_zuanying),旧衣摊前的账本,城东的旧衣摊弥漫着霉味和旧尘。你把那件洗得发白的袍子展开——袖口磨出毛边，领子泛黄，正合你经营多年的贫寒模样。摊主老周堆着笑递过来，袖子里却抖出一张纸条。“杜先生，上月南城那封信替你换了五贯，这账我记得。今天这件袍子，就不跟你砍价了——你帮我个忙。”他把纸条往你掌心推了推，上面写着城南韦府一个通房丫头的名字。“你替我给这个人递句话，她的私盐生意我查清了。不递，我就跟左邻右舍讲讲你穿旧袍子替人写密信的事。”,,,,,
