row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,747kuangda_denggao_leyou_morning_emotion_arrogance,trigger_tags=[action:scene_denggao_leyou_morning]|weight=10|era=747_kuangda|store_to=747_kuangda.denggao.leyou_morning,"prop_gt(name=ambition,val=30),prop_lt(name=ambition,val=100)",晨雾中的长安棋盘,乐游原上晨雾初散。长安城如棋盘铺展，坊门次第打开，炊烟从千家万户升起。终南山的轮廓在薄雾中若隐若现，像是挂在天边的水墨。你负手站在原顶，目光掠过鳞次栉比的屋瓦，落在那一片金碧辉煌的宫阙上。风从终南山方向吹来，衣袍猎猎作响。远处有早起的车马声响，从西市方向隐隐传来——那是权门的车驾，正赶往衙门。你冷笑一声，收回目光，继续看那炊烟。它们升得再高，也高不过这乐游原。,,,,,
>option,,,,,冷哼一声，拂袖转身，背对晨光,,prop_add(name=kuangda; val=1) | prop_add(name=kuangda; val=2) | prop_sub(name=fatigue; val=3) | imagery_add(name=ACTION_TRAVEL_CLIMB:high_tower),,,
>option,,,,,任晨风拂面，不语,,prop_add(name=kuangda; val=1) | prop_add(name=kuangda; val=1) | prop_sub(name=money; val=2) | imagery_add(name=ENV_NATURE_SNOWSTORM:lone_snow),,,
>option,,,,,下山途中遇人，拱手致意,,prop_add(name=kuangda; val=1) | prop_add(name=kuangda; val=-1) | prop_add(name=money; val=3) | prop_sub(name=health; val=1) | imagery_add(name=ACTION_TRAVEL_CLIMB:high_tower),,,
random_event,747kuangda_denggao_leyou_morning_emotion_tranquility,trigger_tags=[action:scene_denggao_leyou_morning]|weight=10|era=747_kuangda|store_to=747_kuangda.denggao.leyou_morning,"prop_gt(name=ambition,val=30),prop_lt(name=ambition,val=100)",晨雾长安静观,乐游原上晨雾将散未散。坊门开启的木轴声隐约传来，炊烟摇曳升空。终南山的轮廓在雾气中淡如墨痕。你倚着栏杆，目光从坊市的屋顶滑向远处的山影，手指在石栏上缓缓摩挲。,,,,,
>option,,,,,冷眼扫过晨光，转身背对长安，看向终南深处。,,prop_add(name=kuangda; val=1) | prop_sub(name=fatigue; val=3) | prop_add(name=kuangda; val=2) | prop_sub(name=fatigue; val=3) | imagery_add(name=ENV_NATURE_SNOWSTORM:lone_snow),,,
>option,,,,,任晨风吹动衣袍，闭目片刻，然后睁开眼继续看山。,,prop_add(name=kuangda; val=1) | prop_sub(name=fatigue; val=3) | prop_add(name=kuangda; val=1) | prop_sub(name=money; val=2) | imagery_add(name=ENV_NATURE_SNOWSTORM:lone_snow),,,
>option,,,,,见远处有车马上原，整了整衣襟，微微躬身。,,prop_add(name=kuangda; val=1) | prop_sub(name=fatigue; val=3) | prop_add(name=kuangda; val=-1) | prop_add(name=money; val=3) | prop_sub(name=health; val=1) | imagery_add(name=ENV_POLITICS_PROSPER:cloud_and_sun),,,
random_event,747kuangda_denggao_leyou_morning_emotion_sorrow,trigger_tags=[action:scene_denggao_leyou_morning]|weight=10|era=747_kuangda|store_to=747_kuangda.denggao.leyou_morning,"prop_gt(name=ambition,val=30),prop_lt(name=ambition,val=100)",晨雾孤影登乐游,乐游原晨雾未散，长安城如一幅未干的墨卷铺在脚下。炊烟从坊间升腾，与晨光纠缠成薄纱。终南山在雾后露出淡青的轮廓。你站在石栏边，手指无意识地划过栏上露水。坊门开启的木轴声、早市商贩的吆喝声、远处马蹄敲击青石的声音——层层叠叠地涌上原顶。阳光渐渐明亮，照在屋瓦上泛出金色，但照到身上时只剩下冷意。你一动不动，目光从最近的一盏未熄的灯笼移到远处山影。晨风吹动衣角，露水沿着指尖滑落。,,,,,
>option,,,,,转身背对长安，晨风灌满衣袖，目光投向远山。,,prop_add(name=sorrow; val=5) | prop_sub(name=health; val=1) | prop_add(name=kuangda; val=2) | prop_sub(name=fatigue; val=3) | imagery_add(name=ACTION_TRAVEL_CLIMB:high_tower),,,
