row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,747kuangda_denggao_leyou_morning_emotion_arrogance,trigger_tags=[ENV_POLITICS_PROSPER:cloud_and_sun/ENV_NATURE_SNOWSTORM:lone_snow/ACTION_TRAVEL_CLIMB:high_tower/action:scene_denggao_leyou_morning/emotion_pair:pair_arrogance/TARGET_OBJECT_SWORD:cold_blade/TARGET_NPC_LIBAI:wine_gourd]|weight=10|era=747_kuangda|archetype=denggao,emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_ARROGANCE_TITLE,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_ARROGANCE_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_ARROGANCE_OPT0_DESC,,emo_add(name=ARROGANCE; val=5) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=cloud_and_sun),,,
>option,,,,,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_ARROGANCE_OPT1_DESC,,emo_add(name=ARROGANCE; val=5) | emo_add(name=SORROW; val=5),,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_ARROGANCE_OPT2_DESC,,emo_add(name=ARROGANCE; val=5) | emo_add(name=ambition; val=20) | emo_add(name=ANGER; val=10) | imagery_add(name=high_tower),,,
random_event,747kuangda_denggao_leyou_morning_emotion_tranquility,trigger_tags=[ENV_POLITICS_PROSPER:cloud_and_sun/ENV_NATURE_SNOWSTORM:lone_snow/ACTION_TRAVEL_CLIMB:high_tower/action:scene_denggao_leyou_morning/emotion_pair:pair_tranquility/VIBE_PHILOSOPHY_ZEN:temple_bell/ENV_NATURE_SNOWSTORM:lone_snow]|weight=10|era=747_kuangda|archetype=denggao,emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_TRANQUILITY_TITLE,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_TRANQUILITY_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_TRANQUILITY_OPT0_DESC,,emo_add(name=TRANQUILITY; val=5) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=lone_snow),,,
>option,,,,,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_TRANQUILITY_OPT1_DESC,,emo_add(name=TRANQUILITY; val=5) | emo_add(name=SORROW; val=5),,,
>option,,,trait_has(name=kuangda_zuanying),,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_TRANQUILITY_OPT2_DESC,,emo_add(name=TRANQUILITY; val=5) | emo_add(name=ambition; val=20) | emo_add(name=ANGER; val=10) | imagery_add(name=cloud_and_sun),,,
random_event,747kuangda_denggao_leyou_morning_emotion_sorrow,trigger_tags=[ENV_POLITICS_PROSPER:cloud_and_sun/ENV_NATURE_SNOWSTORM:lone_snow/ACTION_TRAVEL_CLIMB:high_tower/action:scene_denggao_leyou_morning/emotion_pair:pair_sorrow/VIBE_THEME_HISTORY:ruined_wall/ENV_NATURE_AUTUMNWIND:falling_leaf]|weight=10|era=747_kuangda|archetype=denggao,emo_gt(name=ambition; val=30)|emo_lt(name=ambition; val=100),EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_SORROW_TITLE,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_SORROW_DESC,,,,,
>option,,,trait_has(name=kuangda_kuangke),,EVT_747KUANGDA_DENGGAO_LEYOU_MORNING_EMOTION_SORROW_OPT0_DESC,,emo_add(name=SORROW; val=5) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=high_tower),,,
