row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,ganlu_journey_scene_post_station_identity_menzi,trigger_tags=[ENV_NATURE_SNOWSTORM:lone_snow/TARGET_NPC_DUFU:thatched_grass/action:main:ganlu/TARGET_IDENTITY_MENZI]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|archetype=ganlu,,EVT_GANLU_JOURNEY_SCENE_POST_STATION_IDENTITY_MENZI_TITLE,EVT_GANLU_JOURNEY_SCENE_POST_STATION_IDENTITY_MENZI_DESC,,,,,
>option,,,,,EVT_GANLU_JOURNEY_SCENE_POST_STATION_IDENTITY_MENZI_OPT0_DESC,,emo_add(name=ANGER; val=10) | imagery_add(name=exile),,,
>option,,,,,EVT_GANLU_JOURNEY_SCENE_POST_STATION_IDENTITY_MENZI_OPT1_DESC,,,,,
random_event,ganlu_journey_scene_frozen_river,trigger_tags=[ENV_NATURE_SNOWSTORM:lone_snow/TARGET_NPC_DUFU:thatched_grass/action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|archetype=ganlu,,EVT_GANLU_JOURNEY_SCENE_FROZEN_RIVER_TITLE,EVT_GANLU_JOURNEY_SCENE_FROZEN_RIVER_DESC,,,,,
>option,,,,,EVT_GANLU_JOURNEY_SCENE_FROZEN_RIVER_OPT0_DESC,,trait_add(name=disease_dongshang_frostbite) | emo_add(name=SORROW; val=5) | imagery_add(name=snow) | imagery_add(name=wind),,,
>option,,,,,EVT_GANLU_JOURNEY_SCENE_FROZEN_RIVER_OPT1_DESC,,,,,
random_event,ganlu_journey_scene_refugee_identity_poor,trigger_tags=[ENV_SOCIETY_FAMINE:starving_bone/TARGET_NPC_DUFU:thatched_grass/action:main:ganlu/TARGET_IDENTITY_POOR]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|archetype=ganlu,,EVT_GANLU_JOURNEY_SCENE_REFUGEE_IDENTITY_POOR_TITLE,EVT_GANLU_JOURNEY_SCENE_REFUGEE_IDENTITY_POOR_DESC,,,,,
>option,,,,,EVT_GANLU_JOURNEY_SCENE_REFUGEE_IDENTITY_POOR_OPT0_DESC,,emo_add(name=SORROW; val=10) | imagery_add(name=famine),,,
>option,,,,,EVT_GANLU_JOURNEY_SCENE_REFUGEE_IDENTITY_POOR_OPT1_DESC,,emo_add(name=SORROW; val=3),,,
random_event,ganlu_journey_scene_green_robe,trigger_tags=[ENV_NATURE_SNOWSTORM:lone_snow/TARGET_NPC_DUFU:thatched_grass/action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|archetype=ganlu,,EVT_GANLU_JOURNEY_SCENE_GREEN_ROBE_TITLE,EVT_GANLU_JOURNEY_SCENE_GREEN_ROBE_DESC,,,,,
