row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,bai_ye_honeymoon_l0_typea_m0,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),门子索贿,"你来到李府门前，一个肥头大耳的门子斜眼打量你。他慢悠悠地掏出一张名刺，却不递给你，反手拍在门柱上。""这位公子，我家老爷日理万机，不是随便什么人都见的。""他拇指轻轻搓动食指，眼神瞟向你的钱袋。""上月有个不识相的，连门都没进，就被轰走了。听说那人后来被御史参了一本，现在还在岭南吃荔枝呢。""他嘿嘿笑了一声，露出不齐全的黄牙。",,,,,
>option,,,,,递上银锭，请他通传,,prop_sub(name=money; val=10) | prop_sub(name=money; val=20) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typea_m1,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),朱门索钱记,“郎君好气度，只是这扇门生得怪——非铜钱敲不响。”你取出名帖，他却不接，只将铜钱抛起又接住，叮当作响。你又取些碎银，他仍不收，只道：“郎君莫非不懂规矩？这门槛高得很，须得真金白银垫脚才过得去。”说着，用脚尖点点地面，露出一方青砖上刻着的“钱”字——竟是日日磨出来的。,,,,,
>option,,,,,取出银锭奉上，默然等待开门,,prop_sub(name=money; val=15) | prop_sub(name=money; val=30) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l0_typea_m2,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),门包旧例,“郎君来得不巧，主人今日会客，恐不得空。”你正要开口，他已转身去拂石阶上的尘。廊下几个小厮交头接耳，一个端茶的小婢低声说了句：“新来的，不知规矩。”老门子这才回身，仍是那副淡漠神色：“门包例钱三钱，主人才好递话。并非小人刁难，府上历来如此。”,,,,,
>option,,,,,取出三钱银子供上,,prop_sub(name=money; val=10) | prop_sub(name=money; val=20) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typeb_m0,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),寒门久候,「主人正与吏部侍郎议事，你且在外候着。」说罢缩回门房，任由你立在午门外的穿堂风里。一个时辰过去，你两腿发麻，鼻尖冻得通红。偶尔有仆人进出，却无人问你一句。那门子隔窗望你一眼，嘴角微动——他故意压着不报，只等主人问起，便说近日访客太多，皆已一一挡回，以此显自己用心。,,,,,
>option,,,,,退至廊下，呵手跺脚继续等候,,prop_sub(name=money; val=10) | prop_sub(name=health; val=5) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typeb_m1,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),烈日立等,"""相公今日会客，你且候着。""辰时到午时，烈日当空，你立于阶下，衣襟尽湿。门子时而探头，见你摇摇欲坠，却只冷笑一声，又缩回头去。至未时，你头晕目眩，几欲栽倒，门子方慢悠悠踱出：""相公乏了，明日再来罢。""",,,,,
>option,,,,,从袖中摸出五两银子递上,,prop_sub(name=money; val=15) | prop_sub(name=health; val=7.5) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l0_typeb_m2,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),门外的日昳,“既有公务，便在此候着。”于是你从日昳站到黄昏，看朱门前的槐树影子一寸寸拉长，腿脚酸麻，腹中饥馁，而门内笑语声时断时续。无人催你，也无人问你，仿佛你只是阶前一粒石子。,,,,,
>option,,,,,忍饥挨饿，静候门子通传,,prop_sub(name=money; val=10) | prop_sub(name=health; val=5) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typec_m0,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),朱门索谒,“郎君新科进士？我家老爷最爱提携后进，只是每日求见者不下数十。郎君且在此等候，待小人得空便去禀报。”言毕转身与同伴说笑，将你晾在阶下。日影渐斜，你欲再问，他忽沉下脸色：“郎君好没眼色，这长安城里，哪有空手谒见的道理？莫不是要叫老爷看你两手空空，反怪我门禁不严？”说罢冷哼一声，眼角觑你腰间钱囊。,,,,,
>option,,,,,解下钱囊，含笑奉上,,prop_sub(name=money; val=10) | prop_sub(name=fatigue; val=10) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typec_m1,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),门子索礼,"""进士老爷？李相爷府上，每日求见的进士比长安落叶还多。""他慢悠悠掸了掸衣襟，""这地上灰重，莫脏了老爷的靴。若要我通报，先说说你配不配？""言罢，目光落在你袖口，似笑非笑。",,,,,
>option,,,,,陪笑俯身，递上银两求通报,,prop_sub(name=money; val=15) | prop_sub(name=fatigue; val=15) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l0_typec_m2,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),门子候谒,“今日相公不见客。”说罢转身与旁边仆役闲话，将你晾在阶下。时有其他官员车马经过，门子便殷勤迎上，独对你视若无物。日影渐移，你进退两难，方知这冷落原是常态——非只你一人，凡无厚礼通融者，皆在此处领受这番“规矩”。,,,,,
>option,,,,,赔笑取出银钱，塞与门子,,prop_sub(name=money; val=10) | prop_sub(name=fatigue; val=10) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l1_typea_m0,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),拜谒西市署,"""进士谒见，当备双刺并附行卷，今竟缺一。""语毕却不退还，只以指尖轻叩案几。旁有胥吏低语：此君新擢，正欲以严苛取媚上官。你知他意在索钱，若不出血，恐连门房都不得过。",,,,,
>option,,,,,"取银五两，连称""失礼""",,prop_sub(name=money; val=15) | prop_sub(name=money; val=30) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l1_typea_m1,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),谒见受阻记,“郎君来得不巧，家主正与京兆尹议事。”你刚要开口，他又伸手掸了掸衣袖，“不过，若郎君肯为仆的添些笔墨钱，或许能赶在晚膳前通传。”说着，指尖在案上叩了两下，目光却不望你，只盯着窗外一棵老槐树，仿佛那里的叶子比你的前程要紧。,,,,,
>option,,,,,取出银锭置于案上，拱手称谢,,prop_sub(name=money; val=22.5) | prop_sub(name=money; val=45) | prop_add(name=career_progress; val=22.5),,,
random_event,bai_ye_honeymoon_l1_typea_m2,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),门房索例钱,“郎君文章虽佳，但按例需誊录三份，分呈主司。纸墨笔砚，皆需自备。我这边倒可代劳，只是衙门规矩，每份润笔二百文。”说罢，他抬眼望你，目光平静，并无轻蔑，亦无期待，仿佛只是在陈述一件日常公事。,,,,,
>option,,,,,付铜钱六百文请其代劳,,prop_sub(name=money; val=15) | prop_sub(name=money; val=30) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l1_typeb_m0,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),清客邀功耗客,“郎君来得不巧，相公正在与吏部议事。不若在此稍候，待我处理完手头公文，替你通传。”说罢便低头疾书，再不言语。你立候半个时辰，腿脚酸麻，口渴难耐。那清客时而翻卷，时而与旁人低语，偶尔瞥你一眼，嘴角微含笑意。又过一刻，他方起身，却指着地上散落的卷宗道：“这些急件需誊录，郎君既闲，不妨代劳。相公最重勤谨之人。”言罢径自捧茶啜饮，留你在案前。,,,,,
>option,,,,,忍气吞声，执笔抄录卷宗,,prop_sub(name=money; val=15) | prop_sub(name=health; val=7.5) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l1_typeb_m1,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),寒厅候谒,“相公今日会客颇多，且候着。”说罢便埋头写字，再不理你。你站了半个时辰，腿脚酸麻；又过半个时辰，腹中饥饿难耐。期间几次欲上前询问，他抬眼瞥你，淡淡道：“年轻人，耐性最要紧。”直到日头西斜，他才搁笔，慢声道：“相公今日见不了你了。你若要再约，这通传的规矩——”他伸出两指，轻轻捻了捻。,,,,,
>option,,,,,取出二两银子递上，请他通融,,prop_sub(name=money; val=22.5) | prop_sub(name=health; val=11.25) | prop_add(name=career_progress; val=22.5),,,
random_event,bai_ye_honeymoon_l1_typeb_m2,trigger_tags=bai_ye|weight=10,prop_lt(name=career_progress; val=70),檐下候见,午时三刻，你持名帖立于李府东厢廊下。清客徐先生自案牍后抬起眼皮，示意你稍候。檐角铜铃在烈日下纹丝不动，蝉声如沸。你站到日影西斜，腿脚渐麻，喉间干涩如砂纸。徐先生始终低头写字，偶尔有人进出，他便搁笔与人低语，却再不看你一眼。,,,,,
>option,,,,,继续静立等候，拭汗不语,,prop_sub(name=money; val=15) | prop_sub(name=health; val=7.5) | prop_add(name=career_progress; val=15),,,
