row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,bai_ye_real_appearance_l0_typea,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",门子与恶犬,“今日相爷有令，只接诗词拜帖与门包。”说着，用拇指摩挲腰间绣囊——囊口露出一角银锭的光。獒犬低吠一声，他朝门口努努嘴：“规矩如此，请吧。”,,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""“就这？拿张破纸糊弄谁呢？”门子将名帖掷于地，獒犬凑上前嗅了嗅。"")",,递上名帖与一袋银铤,,prop_sub(name=money; val=5) | prop_sub(name=money; val=20) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
random_event,bai_ye_real_appearance_l0_typeb,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",袖手冷眼索礼,“今日天热，我家老爷不见客。你若有兴头，留张纸在此，回头我替你烧了——当给灶王爷添点柴火。”他伸出两指，从你手中拈过那页纸，连看也不看，转身压到石阶下湿砖缝里，嘟囔：“垫桌脚正好。”,,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""“字都不识，装什么文雅？”"")",,从怀中取出一张纸，递了过去,,prop_sub(name=money; val=5) | prop_sub(name=health; val=10) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
random_event,bai_ye_real_appearance_l0_typec,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",门棍与诗债,“相爷近日雅兴，见客需先呈一首润笔诗，写在纸上递进来。若是没有，就莫怪我这棍子不长眼。”他边说边用棍头在青砖地上画了个圈，将你圈在外面。,,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""“只有纸，没有诗？也配称润笔？”"")",,递上卷轴,,prop_sub(name=money; val=5) | prop_sub(name=talent; val=10) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
random_event,bai_ye_real_appearance_l1_typea,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",红笔下的规矩,“此句‘白日’犯讳，改‘曛日’；‘天颜’僭越，须避；末句用典不合本朝体统，重拟。”他抬眼，笑意不改，“改完，我们再说下话。”,,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""“阁下是来衙门散步的？”"")",,研墨铺纸，将诗稿与名帖一并推回,,prop_sub(name=fatigue; val=11) | prop_sub(name=money; val=22) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3.3000000000000003),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
random_event,bai_ye_real_appearance_l1_typeb,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",朱批与苔痕,“年兄这‘京华’二字犯忌，‘孤鸿’之典僭越了。还有这句不通，失当，当改。”旁边一人踱步时踩住你长衫的衣角，又从案上抽走那张你觉得最得意的句子，递到窗下念给旁人听——当个笑话。你执笔，按批注逐一删改。指节叩桌，韵律在指下被重新填平。末了，那清客点头，指腹抹过墨迹新鲜的字句，将诗稿合上，递还于你。篇什四平八稳，韵脚工整如尸，却出了他这间值房。,,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""“诗呢？莫非今日只带了一张嘴来？”"")",,将诗卷平放于案,,prop_sub(name=fatigue; val=11) | prop_sub(name=health; val=11) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3.3000000000000003),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
random_event,bai_ye_real_appearance_l1_typec,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",红笔批注之下,"""改。""你研墨重写，删去锋芒。他看后点头，又提起笔，将你的署名轻轻划去，在旁添上""代拟""二字。诗稿变得四平八稳，墨迹未干的朱红像一道伤口。",,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""""空手而来，何以见人？"""")",,接过批注研墨重写,,prop_sub(name=fatigue; val=11) | prop_sub(name=talent; val=11) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3.3000000000000003),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
random_event,bai_ye_real_appearance_l2_typea,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",末席之辱,“抄下，署你名。” 他转头看你时，侍从递上茶盏，指尖在杯沿轻叩三下。尚书指了指角落的矮几：“赐座末席——年轻人，该懂的事，都在茶里了。”,,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""“就带这个？当本官是善堂？”"")",,躬身呈上诗卷,,prop_sub(name=health; val=6.25) | prop_sub(name=fatigue; val=6.25) | prop_sub(name=money; val=25) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3.75),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
random_event,bai_ye_real_appearance_l2_typeb,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",空帖之辱,进入厅堂，权贵斜倚凭几，指尖敲桌。“诗呢？”他问得随意。你递上名帖。他拆开封缄，抽出空无一字的纸笺，嘴角笑意不变。他将纸笺摊平于地，起身踱步，靴尖轻碾纸面，又踏住你长衫下摆的边角。,,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""“既无诗才，何苦登门？”"")",,递上名帖,,prop_sub(name=health; val=6.25) | prop_sub(name=fatigue; val=6.25) | prop_sub(name=health; val=12.5) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3.75),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
random_event,bai_ye_real_appearance_l2_typec,trigger_tags=[action:main:baiye]|weight=10,"prop_gt(name=career_progress; val=70),prop_lt(name=career_progress; val=100)",冷茶与残稿,“诗尚可，把名字抹了，改日送与刘参军。”又转头向你笑道：“赐坐，赏你一壶茶。”侍从端来一壶冷茶，壶身冰凉，你握着，指尖发麻。,,,,,
>option,,,"poem_has(type=GAN_YE; min_level=1; failed_hint=""“无诗也敢登门？”"")",,呈上诗稿,,prop_sub(name=health; val=6.25) | prop_sub(name=fatigue; val=6.25) | prop_sub(name=talent; val=12.5) | use_template(urn=event_option:poem_type_choose_zhuoliu) | prop_add(name=career_progress; val=3.75),,,
>option,,,,,拂袖而去,,prop_sub(name=career_progress; val=2),,,
