row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,provider,template
random_event,bai_ye_honeymoon_l0_typea_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),门房索贿,“郎君来得不巧，主人今日不见客。”你的手僵在半空。他瞥了一眼你的衣袖，又说：“不过，若是郎君有心，小的倒可替你通传一声——只是这看门的人情，总得意思意思。”言语间带着笑意，目光却毫无温度。,,,,,
>option,,,,,取出银钱，递与门子,,prop_sub(name=money; val=10) | prop_sub(name=money; val=20) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typea_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),门房索要冰敬钱,“郎君来得不巧，家主正午歇。”他往门内看了一眼，又低头用靴尖拨弄阶下的冻土，“这大冷天的，连口热茶都喝不上。”你站在檐外，寒风灌进领口，他始终不曾挪动半步让你进门。,,,,,
>option,,,,,从袖中摸出三钱银子递过去,,prop_sub(name=money; val=15) | prop_sub(name=money; val=30) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l0_typea_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),门包之规,辰时三刻，你来到安仁坊一朱门之前。门子斜倚在石狮旁，手捧茶碗，目光从你身上掠过。你递上名刺，他接过却不看一眼，只将茶碗沿轻轻一磕。“郎君初来？”他抬了抬下巴，“规矩晓得吧？”远处传来更鼓声，街上行人匆匆。他等着，并不看你。,,,,,
>option,,,,,取出三百文钱，递过去,,prop_sub(name=money; val=10) | prop_sub(name=money; val=20) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typeb_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),门外候见,“老爷今日会客，名单已满。”话音未落便要关门。你忙报上姓名与座师荐书，门子斜睨一眼：“候着罢，有信儿自会传你。”便合上门，只留你立于寒风之中。檐角冰凌滴水，浸透青衫。两刻钟后，门内偶传笑语，却无人再应门。你见门子隔窗扫视你瑟缩之态，嘴角微扬——他并不掌实权，却乐见求见者在门外久立，以此向管家表露自己把门严苛。,,,,,
>option,,,,,递上一贯钱与手札，求其通融,,prop_sub(name=money; val=10) | prop_sub(name=health; val=5) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typeb_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),门外寒立,初冬卯时，你持名刺至城南张侍郎府邸。门子接过名刺，并不通报，只让你在门外廊下候着。寒风穿堂而过，你站至午时，双腿已僵。门子隔半个时辰探一次头，见你仍在，便慢慢缩回去。府内传来用膳的碗筷声，无人问你一声。,,,,,
>option,,,,,将准备好的银钱塞入门子袖中,,prop_sub(name=money; val=15) | prop_sub(name=health; val=7.5) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l0_typeb_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),冬晨候门,“相公今日会客，请在此候着。”檐下冷风刺骨，你站了半个时辰，双脚麻木，靴底积水成冰。门子缩在门房内烤火，偶尔探出头来，看你一眼，又缩回去。你欲上前再问，他却抢先开口：“规矩如此，我也没法子。”你便知今日这番苦等，是白饶的。,,,,,
>option,,,,,递上银两，门子引路入内,,prop_sub(name=money; val=10) | prop_sub(name=health; val=5) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typec_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),寒门骄奴,“相爷今日有要务，不见闲人。”你拱手道愿等。他冷笑一声，引你至侧门穿廊处。时值腊月，寒风如刀。你站了半个时辰，腿脚发麻。他偶尔踱过，瞥你一眼，转头对同伴低语：“这些新科进士，日日来扰，也不知带了几分诚心。”言罢，故意将你晾在风口。,,,,,
>option,,,,,低头塞去银两，恳请通报,,prop_sub(name=money; val=10) | prop_sub(name=fatigue; val=10) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l0_typec_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),寒门候谒,“新科进士？等着。”他将名刺随手搁在门槛上，便缩回门房与同僚掷骰。檐下风如刀，你立了半个时辰，双脚麻木。门子忽探头：“啊呀，忘了！李相今日不见客，明日再来罢。”说罢将名刺掷还，纸角沾了泥水。,,,,,
>option,,,,,揖手称谢，明日备厚礼再来,,prop_sub(name=money; val=15) | prop_sub(name=fatigue; val=15) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l0_typec_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),门檐下的寒暄,你来到李府门前。门子倚在朱漆门框上，目光越过你望着街角。他眯眼打了个哈欠，手指在袖口摩挲几下，却不接你的名刺。檐下铜铃被风吹动，叮当声中你站了一炷香功夫，他的视线始终不曾落在你身上。身后小厮端来热茶，他接过啜饮一口，又慢悠悠吐出一片茶叶。你不语，他亦不语。,,,,,
>option,,,,,上前递上一封银钱,,prop_sub(name=money; val=10) | prop_sub(name=fatigue; val=10) | prop_add(name=career_progress; val=10),,,
random_event,bai_ye_honeymoon_l1_typea_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),清客挡驾索银,“大人今日会客已毕，怕是不便相见。”他目光移向窗外，又慢慢落回你袖口，“不过，若公子有心，某愿代为‘递话’，只是这跑腿的茶水钱——”他顿了顿，端起茶盏抿一口，不再言语。厅中只余茶汤搅动之声，檐下一只画眉懒懒地梳理羽毛。,,,,,
