# B03: Data+UI — 242-421 — 180 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
CODE_CREATE_FENGXIAN_EVENTS_EC014FDEA7	远处的茅草屋里传来婴儿断断续续的啼哭，像是在硬撑。	You stand at the village entrance once more. The wind still blows from Mount Li, but now you know things have changed. The village head is dead, and the area where you once lived has transformed — they seem to have moved somewhere unfamiliar. You rarely return, and without money, over the years the village has become a foreign place.
CODE_CREATE_FENGXIAN_EVENTS_F6B7B0EFB3	你又站在了村口。风还是从骊山方向来，但现在你知道有些东西已经不一样了。里正死了，那片你住过的区域已经换了模样——他们似乎搬迁到了你不熟悉的地方。你不常回来，也没钱，这些年村子对你来说，已经成了一个陌生的地方。	Pure Stream Flattery Event Pool
CODE_CSV_CLOUD_LOADER_05926677F2	清流逢迎事件库	Local Priority
CODE_CSV_CLOUD_LOADER_085931B25C	本地优先	Pure Stream Mutual Aid Event Pool
CODE_CSV_CLOUD_LOADER_1DFC949653	清流互助事件库	Cloud
CODE_CSV_CLOUD_LOADER_45A38D424B	云端	Travel Journey Event Pool (Locally Generated)
CODE_CSV_CLOUD_LOADER_545965AE5D	赶路旅途事件库（本地生成）	Patronage Honeymoon Event (Locally Generated)
CODE_CSV_CLOUD_LOADER_61DBE2097D	拜谒蜜月期生成事件（本地生成）	Random Event Pool
CODE_CSV_CLOUD_LOADER_6275468EAB	随机事件池	Broad-minded Ascension Event
CODE_CSV_CLOUD_LOADER_7793AAD691	旷达期登高事件	Patronage: True Colors
CODE_CSV_CLOUD_LOADER_82FF83CBA9	拜谒真实面目	Turbid Stream Curiosity Event Pool
CODE_CSV_CLOUD_LOADER_83DAF1A19E	浊流猎奇事件库	Pure Stream Scheming Event Pool
CODE_CSV_CLOUD_LOADER_86F0576A5B	清流钻营事件库	Polymorphic Broad-minded Event
CODE_CSV_CLOUD_LOADER_8A38D983E1	多态旷达事件	Ambition Life Event
CODE_CSV_CLOUD_LOADER_8E0945C965	野心生活事件	Turbid Stream Flattery Event Pool
CODE_CSV_CLOUD_LOADER_9DC0C591E5	浊流逢迎事件库	Self-Reproach Event Pool
CODE_CSV_CLOUD_LOADER_BE236A6399	自责事件库	Turbid Stream Scheming Event Pool
CODE_CSV_CLOUD_LOADER_CB2B5390A8	浊流钻营事件库	Anxiety Event Pool
CODE_CSV_CLOUD_LOADER_D052A649DA	焦虑事件库	Mad Poet × Pure Stream Resonance Event Pool
CODE_CSV_CLOUD_LOADER_E172FAE110	狂客×清流谐振事件库	Illness Event (Diagnosis + Contamination)
CODE_CSV_CLOUD_LOADER_F4692DBE3F	疾病事件（诊断+污染）	Shattered Dao Heart Event Pool
CODE_CSV_CLOUD_LOADER_F80D0EB98B	道心破碎事件库	Mad Poet - Turbid Stream Event Pool
CODE_CSV_CLOUD_LOADER_FD173F084C	狂客-浊流事件库	Build poem recipe index — { sorted_concept_key → Poem recipe }
CODE_DATABASE_4D67642CC6	构建诗词食谱索引 — { sorted_concept_key → Poem recipe }	Extract resource uuid and class_name, write to _raw_data_pool and _index_by_class
CODE_DATABASE_63FD4D1686	提取 resource 的 uuid 和 class_name，写入 _raw_data_pool 和 _index_by_class	Validate resource against class_filter; empty filter counts as match
CODE_DATABASE_651DC1486F	校验 resource 是否匹配 class_filter，空 filter 视为匹配	Scan all values of flat dictionary, index Resource types
CODE_DATABASE_6F781D1EED	扫描平铺字典的所有值，对 Resource 类型执行索引	Extract uuid from Resource: prefer 'uuid' field, fallback to 'id' field
CODE_DATABASE_FAD55858C4	从 Resource 提取 uuid，优先 'uuid' 字段，兜底 'id' 字段	Extract uuid from Resource, supports 'uuid' and 'id' fields
CODE_DATA_SCANNER_546FD6E862	从 Resource 中提取 uuid，支持 'uuid' 和 'id' 字段	DataScanner: ID conflict! full_id='%s' already exists (file: %s)
CODE_DATA_SCANNER_87B9B14697	DataScanner: ID 冲突！full_id='%s' 已存在（文件: %s）	DataScanner: CSV pool conflict! full_id='%s' already exists
CODE_DATA_SCANNER_D144DA1A9F	DataScanner: CSV 池冲突！full_id='%s' 已存在	Load eb_*.json files as EventBase Resource
CODE_DATA_SCANNER_F7573DA95E	加载 eb_*.json 文件为 EventBase Resource	The rivers and lakes are calm — nothing stirs here for now.
CODE_DECISION_SCROLL_46A040596E	江湖风平浪静，此处暂且无事。	%d Imaginary total
CODE_DUMP_TRAIT_HINTS_399888A2E0	共 %d 个 Imaginary	✅ Dump complete:
CODE_DUMP_TRAIT_HINTS_8CE84AA5D3	✅ Dump 完成:	❌ Cannot write to file
CODE_DUMP_TRAIT_HINTS_980FA0FD3E	❌ 无法写入文件	ERROR: Directory unreachable
CODE_DUMP_TRAIT_HINTS_A410B3E61F	ERROR: 目录不可达	⚠️ Database.imaginaries_detail is empty — no runtime Imaginary
CODE_DUMP_TRAIT_HINTS_D14370FE66	⚠️ Database.imaginaries_detail 为空 — 无运行时 Imaginary	📁 Part 1: Static .tres Trait files
CODE_DUMP_TRAIT_HINTS_E58116E336	📁 第1部分：静态 .tres Trait 文件	=== Full Trait + Imaginary Hint Dump ===\n
CODE_DUMP_TRAIT_HINTS_EF92583DCC	=== 全量 Trait + Imaginary Hint Dump ===\n	📁 Part 2: Runtime Imaginary (Database.imaginaries_detail)
CODE_DUMP_TRAIT_HINTS_F4013C8605	📁 第2部分：运行时 Imaginary (Database.imaginaries_detail)	Ambition
CODE_EMOTION_OPERATOR_0AB342DF06	野心	Melancholy
CODE_EMOTION_OPERATOR_192BC492B2	愁苦	Arrogance
CODE_EMOTION_OPERATOR_9A85FF3DCC	狂傲	Broad-mindedness
CODE_EMOTION_OPERATOR_A62908DEDA	旷达	Resentment
CODE_EMOTION_OPERATOR_DC917B1566	愤懑	Ambition
CODE_EMOTION_REQUIREMENT_0AB342DF06	野心	Melancholy
CODE_EMOTION_REQUIREMENT_192BC492B2	愁苦	Requires emotion: %s (≥%d)
CODE_EMOTION_REQUIREMENT_8C8222BD2A	需要情绪: %s(≥%d)	Arrogance
CODE_EMOTION_REQUIREMENT_9A85FF3DCC	狂傲	Broad-mindedness
CODE_EMOTION_REQUIREMENT_A62908DEDA	旷达	Resentment
CODE_EMOTION_REQUIREMENT_DC917B1566	愤懑	Pingkang Ward
CODE_ENUMERATES_06CF4D3D54	平康坊	Mount Tai
CODE_ENUMERATES_96DF5611DF	泰山	West Market
CODE_ENUMERATES_BE2A911592	西市	Imperial City
CODE_ENUMERATES_CD2724EB5A	皇城	Foot of Mount Tai
CODE_ENUMERATES_F1D945BB0B	泰山脚下	Mount Tai Summit
CODE_ENUMERATES_FAD381D3E4	泰山上	[Prerequisites]
CODE_EVENT_BTN_057AE9C4A2	[前提]	Option disabled
CODE_EVENT_BTN_1F4CD3AC79	选项已禁用	You want to know what happened
CODE_EVENT_BTN_29178BE430	你想知道什么发生了	Initialize option data
CODE_EVENT_BTN_8C71DF151B	初始化选项数据	Factory method: create and initialize button
CODE_EVENT_BTN_B9820968D7	工厂方法：创建并初始化按钮	Option
CODE_EVENT_BTN_BB7486F441	选项	[Effects]
CODE_EVENT_BTN_CDAC366955	[影响]	DSL parsing failed, no commands generated
CODE_EVENT_CHAIN_BUILDER_347845FC55	DSL 解析失败，未产生任何命令	DSL is empty
CODE_EVENT_CHAIN_BUILDER_6975313313	DSL 为空	Execution complete: %d succeeded, %d failed
CODE_EVENT_CHAIN_BUILDER_EF28AAE998	执行完成: %d 成功, %d 失败	subgraph Chain%d[Chain %d: %d events]
CODE_EVENT_CHAIN_LINTER_04972C11EC	subgraph Chain%d[链 %d: %d个事件]	%% Event chain dependency graph
CODE_EVENT_CHAIN_LINTER_F9AC67EC13	%% 事件链依赖关系图	「 Resolved: %s 」
CODE_EVENT_UI_46A78AC7C9	「 既决：%s 」	Storm off
CODE_EXAMPLE_USAGE_2117252AA8	拂袖而去	Market Poetry Gathering
CODE_EXAMPLE_USAGE_34A3241C28	市场诗会	A poetry gathering is underway at the market, drawing many literati and scholars.
CODE_EXAMPLE_USAGE_3A241EDFCE	市场上正在举行一场诗会，许多文人墨客聚集于此。	Slip a bribe
CODE_EXAMPLE_USAGE_77392360EA	塞钱贿赂	Observe quietly
CODE_EXAMPLE_USAGE_A456365D59	默默观察	You encounter a mysterious poet at a tavern in Chang'an.
CODE_EXAMPLE_USAGE_BB27B4F5E7	你在长安的一家酒馆中遇到了一位神秘的诗人。	Join the poetry gathering
CODE_EXAMPLE_USAGE_DB5BB25CD0	参与诗会	Chang'an Tavern Encounter
CODE_EXAMPLE_USAGE_DF4F5862A6	长安酒馆奇遇	You encounter a mysterious poet at a tavern in Chang'an. He seems drunk, yet a glint of wisdom shines in his eyes.
CODE_EXAMPLE_USAGE_F7F4376B3F	你在长安的一家酒馆中遇到了一位神秘的诗人，他似乎喝醉了，但眼中却闪烁着智慧的光芒。	Han
CODE_FACTION_80FA989E68	汉	Reverse-lookup option display text from ChoiceResult
CODE_FOCUS_CHAT_TAPE_ENTRY_32FCFCFD75	根据 ChoiceResult 反向查找选项的展示文本	「 Resolved: %s 」
CODE_FOCUS_CHAT_TAPE_ENTRY_46A78AC7C9	「 既决：%s 」	Click save to occupy this slot
CODE_GAME_DATA_PANEL_088AAD036F	点击保存以占用此槽位	Day %d | Year %.1f | %s
CODE_GAME_DATA_PANEL_B7F0764174	第%dd | %.1f年 | %s	Du Fu
CODE_GAME_DATA_PANEL_D1A76721CD	杜甫	Empty save
CODE_GAME_DATA_PANEL_E191E9DFB1	空存档	Du Fu
CODE_GAME_SAVE_D1A76721CD	杜甫	Du Fu
CODE_GAME_SAVE_DATA_D1A76721CD	杜甫	Create an event where each choice grants an Imaginary
CODE_GENERATE_TEST_POEM_EVENTS_04A0AC9ECB	创建一个事件，每选一个选项就获得一个意象	Use PoemTypeChooseOperator to select a poem type
CODE_GENERATE_TEST_POEM_EVENTS_0599B96A29	使用 PoemTypeChooseOperator 选择诗词	Obtained poem: Petition Poem Lv1
CODE_GENERATE_TEST_POEM_EVENTS_522D4F744A	获得诗词: 干谒诗 Lv1	[Test] Scenario 4: Obtain Imaginary for "Snowstorm Returnee" recipe
CODE_GENERATE_TEST_POEM_EVENTS_5633C6F5A2	[测试] 场景4: 获取「风雪夜归人」食谱的 Imaginary	Obtained Imaginary: %s
