# B04: Game Logic — 422-561 — 140 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
CODE_MAIN_ACTION_BUTTON_DC059CE490	时间不足（剩余%d天，需要%s）	Insufficient time (%d days remaining, need %s)
CODE_MAIN_PAGE_59CA1F817B	律法	Law & Order
CODE_MAIN_PAGE_B6BDB1C7B1	隐	Seclusion
CODE_MAIN_PAGE_FE9C846C52	京	Capital
CODE_MANIA_PROVIDER_5B4A72C92F	狂笑不止，踽踽独行	Laughing uncontrollably, wandering alone
CODE_MODIFIER_CONFIG_0288A3D9E2	才华	Talent
CODE_MODIFIER_CONFIG_0B0EC74089	才华 {mod_val} → 清流交互消耗 -{pct}%	Talent {mod_val} → Pure Faction interaction cost -{pct}%
CODE_MODIFIER_CONFIG_24C118E561	城府	Cunning
CODE_MODIFIER_CONFIG_27F59B3B2C	城府 {mod_val} → 浊流交互消耗 -{pct}%	Cunning {mod_val} → Corrupt Faction interaction cost -{pct}%
CODE_MODIFIER_CONFIG_5A9DF0C8BE	城府 {mod_val} → 钱财获取 +{pct}%	Cunning {mod_val} → Wealth gain +{pct}%
CODE_MODIFIER_CONFIG_6437EEB330	才华 {mod_val} → 声望获取 +{pct}%	Talent {mod_val} → Reputation gain +{pct}%
CODE_MODIFIER_CONFIG_6A9F4227A3	定力 {mod_val} → 健康失去减免 {pct}%	Composure {mod_val} → Health loss reduction {pct}%
CODE_MODIFIER_CONFIG_70B6B26C92	定力	Composure
CODE_MODIFIER_CONFIG_78ACB44470	城府 {mod_val} → 声望获取 -{pct}%	Cunning {mod_val} → Reputation gain -{pct}%
CODE_MODIFIER_CONFIG_79A843720B	城府 {mod_val} → 势衰减减免 {pct}%	Cunning {mod_val} → Influence decay reduction {pct}%
CODE_MODIFIER_CONFIG_BCACFF08CC	定力 {mod_val} → 兴致获取 -{pct}%	Composure {mod_val} → Inspiration gain -{pct}%
CODE_MODIFIER_HINT_FORMATTER_0288A3D9E2	才华	Talent
CODE_MODIFIER_HINT_FORMATTER_24C118E561	城府	Cunning
CODE_MODIFIER_HINT_FORMATTER_70B6B26C92	定力	Composure
CODE_MONTH_END_SETTLEMENT_0868FBC8C0	冬	Winter
CODE_MONTH_END_SETTLEMENT_0EB863C78D	钱	Wealth
CODE_MONTH_END_SETTLEMENT_1047F73848	合上考评	Overall Assessment
CODE_MONTH_END_SETTLEMENT_1E52BBFF88	[font_size=16][b]「长安米贵」[/b][/font_size]	[font_size=16][b]"Chang'an Rice Is Dear"[/b][/font_size]
CODE_MONTH_END_SETTLEMENT_213A369D1D	[font_size=16][b]「潜伏暗线」[/b][/font_size]	[font_size=16][b]"Lurking Hidden Threads"[/b][/font_size]
CODE_MONTH_END_SETTLEMENT_2DF825FBDA	府	Residence
CODE_MONTH_END_SETTLEMENT_3281E6BBE7	途	Journey
CODE_MONTH_END_SETTLEMENT_403869A2B5	[i]天道盈亏，自有定数。月盈则亏，水满则溢。[/i]	[i]The way of Heaven waxes and wanes by its own measure. The full moon must wane, the brimming cup must spill.[/i]
CODE_MONTH_END_SETTLEMENT_4B35F007CC	每旬结算开始时清空所有属性颜色覆盖，使染色仅反映当旬变化。	Clear all property color overrides at the start of each ten-day settlement, so coloring reflects only the current period's changes.
CODE_MONTH_END_SETTLEMENT_4BA71F5DC5	[i]本月诸般光景，与上月无异[/i]	[i]This month's affairs are no different from the last.[/i]
CODE_MONTH_END_SETTLEMENT_51A5D681A9	名	Fame
CODE_MONTH_END_SETTLEMENT_55D3A19D9E	势	Influence
CODE_MONTH_END_SETTLEMENT_5A2E5E4B12	秋	Autumn
CODE_MONTH_END_SETTLEMENT_5B0E0492B5	季	Season
CODE_MONTH_END_SETTLEMENT_66329961B5	%s·%s 结	%s · %s Settlement
CODE_MONTH_END_SETTLEMENT_6EC5A9FCC0	[i]天机未显，静待时变。[/i]	[i]Heaven's design remains hidden; await the turning of the tide.[/i]
CODE_MONTH_END_SETTLEMENT_7D58B6422C	时	Time
CODE_MONTH_END_SETTLEMENT_8482432C02	夏	Summer
CODE_MONTH_END_SETTLEMENT_8B0329C50B	健	Health
CODE_MONTH_END_SETTLEMENT_9A8D951DCB	才	Talent
